"filename" "sentence" "value"
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.78" "chi_Anaëlle_5.74{CP}.txt" "c'est le soir donc les bébés sont déjà au lit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.84" "chi_Anaëlle_5.74{CP}.txt" "alors maintenant on va donner les prénoms." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.117" "chi_Anaëlle_5.74{CP}.txt" "alors maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.124" "chi_Anaëlle_5.74{CP}.txt" "après c'est le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.129" "chi_Anaëlle_5.74{CP}.txt" "c'est le matin!
ah papa!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.181" "chi_Anaëlle_5.74{CP}.txt" "aujourd'hui j'ai pas de boulot." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Anaëlle_5.74.CP..txt.242" "chi_Anaëlle_5.74{CP}.txt" "maintenant on fait quoi?" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Arthur_6.58.CP..txt.39" "chi_Arthur_6.58{CP}.txt" "allez c'est l'heure d'aller au lit maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Auguste_5.83.GS..txt.83" "chi_Auguste_5.83{GS}.txt" "je sais pas si.
bon et maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Auguste_5.83.GS..txt.105" "chi_Auguste_5.83{GS}.txt" "on peut jouer avec eux maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Boniface_6.25.CP..txt.157" "chi_Boniface_6.25{CP}.txt" "bah@i non à midi quand ils font un pique nique." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Clemence_5.57.GS..txt.48" "chi_Clemence_5.57{GS}.txt" "c'est que c'est l'été." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Clemence_5.57.GS..txt.111" "chi_Clemence_5.57{GS}.txt" "maintenant on fait semblant de ronfler." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Clemence_5.57.GS..txt.145" "chi_Clemence_5.57{GS}.txt" "bah on on va jusqu'à la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Corentin_6.31.CP..txt.79" "chi_Corentin_6.31{CP}.txt" "maintenant moi je vais sauter sur papa." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Corentin_6.31.CP..txt.83" "chi_Corentin_6.31{CP}.txt" "mais c'est le week end!
^ c'est dimanche." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Corentin_6.31.CP..txt.84" "chi_Corentin_6.31{CP}.txt" "nan on est dimanche." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Corentin_6.31.CP..txt.85" "chi_Corentin_6.31{CP}.txt" "^ c'est dimanche matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.5" "chi_Estelle_6.57{CP}.txt" "ici là.
et maintenant le landau ici.
xxx dans du lit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.129" "chi_Estelle_6.57{CP}.txt" "c'est l'heure de se lever!
maman maman on va à l'école aujourd'hui!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.130" "chi_Estelle_6.57{CP}.txt" "on est jeudi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.137" "chi_Estelle_6.57{CP}.txt" "j'en n'ai pas besoin pour aller au travail aujourd'hui." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.138" "chi_Estelle_6.57{CP}.txt" "le jeudi je vais pas au travail." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.148" "chi_Estelle_6.57{CP}.txt" "vous allez manger maintenant.
et vous allez aller au lit après que vous allez digérer." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Estelle_6.57.CP..txt.162" "chi_Estelle_6.57{CP}.txt" "bah papa maintenant pour la dernière fois laisse les bébés tranquilles." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.45" "chi_François_4.73{MS}.txt" "c'est le petit yyy maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.46" "chi_François_4.73{MS}.txt" "ah@i nan c'est parce c'est encore la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.51" "chi_François_4.73{MS}.txt" "tous les chats vont dans ce lit maintenant un chat va se mettre dans ce dans un lit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.60" "chi_François_4.73{MS}.txt" "voilà bah@i c'est bon.
la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.79" "chi_François_4.73{MS}.txt" "c'est c'est le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.90" "chi_François_4.73{MS}.txt" "ah@i nan c'est encore la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.118" "chi_François_4.73{MS}.txt" "et l'enfant maintenant il va grimper sur le toit par la cheminée." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_François_4.73.MS..txt.124" "chi_François_4.73{MS}.txt" "oh@i c'est un peu dangereux maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Garance_5.02.GS..txt.228" "chi_Garance_5.02{GS}.txt" "oh c'est au lit maintenant plus rien entendre." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Garance_5.02.GS..txt.244" "chi_Garance_5.02{GS}.txt" "non aujourd'hui on n'a plus de à manger." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.65" "chi_Juliette_5.33{GS}.txt" "elle pose le sac dessus le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.93" "chi_Juliette_5.33{GS}.txt" "on va dire que là ils ils étaient ils étaient euh@i ils étaient au lit parce que là c'était la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.176" "chi_Juliette_5.33{GS}.txt" "ouais je vais chercher mes jumeaux aujourd'hui c'est moi qui s' qui s'occupe les parents veulent toujours dormir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.191" "chi_Juliette_5.33{GS}.txt" "mais nan c'est midi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.192" "chi_Juliette_5.33{GS}.txt" "oui mais moi pendant ce temps j'étais pas très très bien réveillée hein." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.203" "chi_Juliette_5.33{GS}.txt" "oh c'est midi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Juliette_5.33.GS..txt.234" "chi_Juliette_5.33{GS}.txt" "nan c'est le repas de midi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Leonie_6.7.CP..txt.39" "chi_Leonie_6.7{CP}.txt" "nan c'est l'heure de dormir c'est la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Leonie_6.7.CP..txt.88" "chi_Leonie_6.7{CP}.txt" "pendant ce temps." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Lilou_5.69.GS..txt.118" "chi_Lilou_5.69{GS}.txt" "normalement c'est le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Lilou_5.69.GS..txt.138" "chi_Lilou_5.69{GS}.txt" "c'est le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Louise_6.89.CE1..txt.36" "chi_Louise_6.89{CE1}.txt" "yyy j'ai acheté du pain pour demain car on va faire pique nique." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Lucas_4.65.MS..txt.127" "chi_Lucas_4.65{MS}.txt" "ben oui c'est pas encore midi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Lucas_4.65.MS..txt.137" "chi_Lucas_4.65{MS}.txt" "héhé ben moi je vais avec vous maintenant je suis le papa .
ben oui." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Lucas_4.65.MS..txt.143" "chi_Lucas_4.65{MS}.txt" "ben oui c'est l'hiver." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Lucas_4.65.MS..txt.179" "chi_Lucas_4.65{MS}.txt" "ben si c'est la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Mathilde_5.66.GS..txt.125" "chi_Mathilde_5.66{GS}.txt" "ils avaient faim dans la nuit les enfants." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Matthis_4.53.MS..txt.11" "chi_Matthis_4.53{MS}.txt" "c'est la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Matthis_4.53.MS..txt.13" "chi_Matthis_4.53{MS}.txt" "bah oui!
ouais c'est la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Matthis_4.53.MS..txt.14" "chi_Matthis_4.53{MS}.txt" "c'est la nuit et il dort.
en bas.
et une chaise pour bébé." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Matthis_4.53.MS..txt.70" "chi_Matthis_4.53{MS}.txt" "maintenant c'est l'heure de se réveiller." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Matthis_4.53.MS..txt.106" "chi_Matthis_4.53{MS}.txt" "oh maintenant il est tout brûlé." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Naël_7.09.CE1..txt.14" "chi_Naël_7.09{CE1}.txt" "on est le soir!
ah les deux petits chats!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Naël_7.09.CE1..txt.82" "chi_Naël_7.09{CE1}.txt" "si parce que là c'est euh pour eux c'est la nuit!
ah oui!
ah il a bien mangé le biberon!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Naël_7.09.CE1..txt.120" "chi_Naël_7.09{CE1}.txt" "non là c'est l'après midi!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_OSCAR_6.74.CP..txt.68" "chi_OSCAR_6.74{CP}.txt" "c'est bon!
on peut aller à l'école maintenant!
ah si mon cartable." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_OSCAR_6.74.CP..txt.117" "chi_OSCAR_6.74{CP}.txt" "bah on dirait c'était le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Oriane_7.42.CE1..txt.49" "chi_Oriane_7.42{CE1}.txt" "elle va au lit faire dodo parce que c'est la nuit.
et le papa et la maman." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Oriane_7.42.CE1..txt.62" "chi_Oriane_7.42{CE1}.txt" "et qu'est ce qu'on fait maintenant?" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Oriane_7.42.CE1..txt.72" "chi_Oriane_7.42{CE1}.txt" "et qu'est ce qu'on fait maintenant?
et là y a les." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Oriane_7.42.CE1..txt.89" "chi_Oriane_7.42{CE1}.txt" "mais non!
c'est la nuit chez eux." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Paul1_5.77.GS..txt.28" "chi_Paul1_5.77{GS}.txt" "c'est pas fini!
ça ça.
et ça!
et voilà c'est le matin!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Paul2_6.18.CP..txt.65" "chi_Paul2_6.18{CP}.txt" "ouais xxx xxx dans la nuit xxx." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Paul2_6.18.CP..txt.84" "chi_Paul2_6.18{CP}.txt" "allez on y va.
je leur raconte pas ça la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Paul2_6.18.CP..txt.102" "chi_Paul2_6.18{CP}.txt" "c'est pas le moment de nous réveiller on est encore le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_ROMEO_6.09.GS..txt.11" "chi_ROMEO_6.09{GS}.txt" "ah bah maintenant j'ai plus de place." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_ROMEO_6.09.GS..txt.77" "chi_ROMEO_6.09{GS}.txt" "ouais euh là ce là ça là c'était le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_ROMEO_6.09.GS..txt.82" "chi_ROMEO_6.09{GS}.txt" "euh où?
bah où?
ouais et après on après il on disait qu'il allait au boulot?
ouais ah non le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_ROMEO_6.09.GS..txt.84" "chi_ROMEO_6.09{GS}.txt" "là ils là c'était la nuit." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Samuel_6.89.CE1..txt.84" "chi_Samuel_6.89{CE1}.txt" "c'est le papa qui va à l'école maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Samuel_6.89.CE1..txt.105" "chi_Samuel_6.89{CE1}.txt" "nan je suis ri j'étais rikiki mais je sais comment je suis maintenant quand j'étais bébé tout xxx comme ça." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Sarah_5.96.GS..txt.119" "chi_Sarah_5.96{GS}.txt" "hm ah c'est la nuit ils vont jouer." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.18" "chi_Thibaut_5.23{GS}.txt" "c'est l'hiver l'hiver." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.49" "chi_Thibaut_5.23{GS}.txt" "xxx c'est le soir et c'est et c'est Noël!
bon d'accord." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.75" "chi_Thibaut_5.23{GS}.txt" "oh c'est le soir maman." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.86" "chi_Thibaut_5.23{GS}.txt" "c'est à ce soir euh." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.88" "chi_Thibaut_5.23{GS}.txt" "mais non parce que là c'est pas l'hiver." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.91" "chi_Thibaut_5.23{GS}.txt" "sept minutes!
et c'est l'hiver." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.98" "chi_Thibaut_5.23{GS}.txt" "allez on est fatigué maintenant." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.108" "chi_Thibaut_5.23{GS}.txt" "bon c'est le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.113" "chi_Thibaut_5.23{GS}.txt" "c'est le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Thibaut_5.23.GS..txt.114" "chi_Thibaut_5.23{GS}.txt" "c'est le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Timeo_6.46.CP..txt.46" "chi_Timeo_6.46{CP}.txt" "hum ça ici.
voilà eh les trucs là.
pas aujourd'hui." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Timeo_6.46.CP..txt.69" "chi_Timeo_6.46{CP}.txt" "nan maintenant il va manger pour eux ils sont déjà partis coucher." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Timeo_6.46.CP..txt.83" "chi_Timeo_6.46{CP}.txt" "bah maintenant ils vont manger dans la poubelle." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Timeo_6.46.CP..txt.124" "chi_Timeo_6.46{CP}.txt" "maintenant on va chercher la maman et la petite fille." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Titouan_4.65.MS..txt.165" "chi_Titouan_4.65{MS}.txt" "maintenant c'est l'heure de partir.
et la grande?
mais attends." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Tristan_5.11.GS..txt.140" "chi_Tristan_5.11{GS}.txt" "viens avec nous maintenant!
et bah c'est parti!
parc d'attraction." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Alban_5.11.GS..txt.3" "chi_Alban_5.11{GS}.txt" "bah en fait en fait c'est les vendredis qu'on a des gommettes." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Alban_5.11.GS..txt.4" "chi_Alban_5.11{GS}.txt" "mais là comme aujourd'hui c'est les vacances on l'a donnée mercredi la super gommette." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Anaëlle_5.74.CP..txt.45" "chi_Anaëlle_5.74{CP}.txt" "tu t'en vas maintenant?
au revoir.
de rien." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Arthur_6.58.CP..txt.3" "chi_Arthur_6.58{CP}.txt" "des fois le soir je vais chez un copain après l'école." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Arthur_6.58.CP..txt.4" "chi_Arthur_6.58{CP}.txt" "le midi je rentre chez moi ou aller à la cantine." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Arthur_6.58.CP..txt.5" "chi_Arthur_6.58{CP}.txt" "et puis des fois je vais au périscolaire le soir et le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Auguste_5.83.GS..txt.10" "chi_Auguste_5.83{GS}.txt" "une après-midi on était euh." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Clara_5.79.GS..txt.1" "chi_Clara_5.79{GS}.txt" "et le soir je suis allée chez ma tata." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Clara_5.79.GS..txt.4" "chi_Clara_5.79{GS}.txt" "le midi c'est mamie qui m'a récupérée à l'école." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Estelle_6.57.CP..txt.3" "chi_Estelle_6.57{CP}.txt" "et maintenant on franchit la neige." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Estelle_6.57.CP..txt.9" "chi_Estelle_6.57{CP}.txt" "non c'était ce soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Estelle_6.57.CP..txt.10" "chi_Estelle_6.57{CP}.txt" "pour le ce soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_François_4.73.MS..txt.3" "chi_François_4.73{MS}.txt" "avant on avait fait tout le tour mais maintenant on l'a un peu cassé le train." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_François_4.73.MS..txt.5" "chi_François_4.73{MS}.txt" "nan c'était mercredi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_François_4.73.MS..txt.7" "chi_François_4.73{MS}.txt" "mardi j'étais allé à l'école." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_François_4.73.MS..txt.17" "chi_François_4.73{MS}.txt" "et aujourd'hui la pile est sortie du train." 1
