eh	INT	eh
coup	NOM	coup
euh	INT	euh
évidement	NOM	évidement
ça	PRO:cls	ça
m'	PRO:clo	me
a	AUX:pres	avoir
marqué	VER:pper	marquer
pendant	PRP	pendant
longtemps	ADV	longtemps
ça	PRO:cls	ça
m'	PRO:clo	me
a	AUX:pres	avoir
marqué	VER:pper	marquer
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
pendant	PRP	pendant
toute	DET:pre	tout
la	DET:def	le
période	NOM	période
de	PRP	de
la	DET:def	le
campagne	NOM	campagne
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
d'	PRP	un
octobre	NOM	octobre
jus-	TRC	<unknown>
on	PRO:cls	on
a	AUX:pres	avoir
commencé	VER:pper	commencer
allez	INT	allez
fin	NOM	fin
octobre	NOM	octobre
fin	NOM	fin
octobre	NOM	octobre
début	NOM	début
novembre	NOM	novembre
euh	INT	euh
donc	ADV	donc
ça	PRO:cls	ça
a	AUX:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
partir	VER:infi	partir
de	PRP	de
ce	DET:dem	ce
moment	NOM	moment
là	ADV	là
jusqu'	PRP	jusque
à	PRP	à
bah	INT	bah
jusqu'	PRP	jusque
au	PRP:det	au
jusqu'	PRP	jusque
au	PRP:det	au
deuxième	ADJ	deuxième
tour	NOM	tour
c'	PRO:cls	ce
est	VER:pres	être
jusqu'	PRP	jusque
au	PRP:det	au
vingt	NUM	@card@
trois	NUM	@card@
mars	NOM	mars
et	KON	et
euh	INT	euh
et	KON	et
ensuite	ADV	ensuite
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
s'	PRO:clo	se
est	AUX:pres	être
tassé	VER:pper	tasser
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
évidement	NOM	évidement
sur	PRP	sur
la	DET:def	le
fin	NOM	fin
mais	KON	mais
l'	DET:def	le
élément	NOM	élément
déclencheur	NOM	déclencheur
qui	PRO:rel	qui
a	AUX:pres	avoir
vraiment	ADV	vraiment
été	VER:pper	être
le	DET:def	le
déclic	NOM	déclic
c'	PRO:cls	ce
est	VER:pres	être
jour	NOM	jour
où	PRO:rel	où
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
demandé	VER:pper	demander
euh	INT	euh
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
demandé	VER:pper	demander
de	PRP	de
participer	VER:infi	participer
alors	ADV	alors
pourquoi	PRO:int	pourquoi
ce	DET:dem	ce
jour	NOM	jour
là	ADV	là
bah	INT	bah
tout	ADV	tout
simplement	ADV	simplement
parce	TRC	parce
que	KON	que
euh	INT	euh
bah	INT	bah
parce	TRC	parce
que	KON	que
qu'	KON	que
en	PRP	en
on	PRO:cls	on
regarde	VER:pres	regarder
la	DET:def	le
politique	NOM	politique
et	KON	et
quand	KON	quand
on	PRO:cls	on
parle	VER:pres	parler
de	PRP	de
politique	NOM	politique
aujourd'hui	ADV	aujourd'hui
on	PRO:cls	on
pense	VER:pres	penser
aux	PRP:det	au
vieillards	NOM	vieillard
qui	PRO:rel	qui
veulent	VER:pres	vouloir
pas	ADV	pas
lâcher	VER:infi	lâcher
le	PRO:clo	le
pouvoir	VER:infi	pouvoir
et	KON	et
qui	PRO:rel	qui
euh	INT	euh
se	PRO:clo	se
baladent	VER:pres	balader
en	PRP	en
costard	NOM	costard
tous	DET:pre	tout
les	DET:def	le
jours	NOM	jour
et	KON	et
qui	PRO:rel	qui
parlent	VER:pres	parler
de	PRP	de
choses	NOM	chose
qui	PRO:rel	qui
les	PRO:clo	le
désintéressent	VER:pres	désintéresser
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
ne	ADV	ne
pensant	ADJ	pensant
tout	ADV	tout
simplement	ADV	simplement
qu'	KON	que
à	PRP	à
n'	ADV	ne
avoir	VER:infi	avoir
qu'	KON	que
une	DET:ind	un
partie	NOM	partie
du	PRP:det	du
pouvoir	NOM	pouvoir
et	KON	et
euh	INT	euh
de	PRP	de
voir	VER:infi	voir
que	KON	que
les	DET:def	le
jeunes	ADJ	jeune
pouvaient	VER:impf	pouvoir
se	PRO:clo	se
lancer	VER:infi	lancer
dans	PRP	dans
des	DET:ind	un
éléctions	NOM	<unknown>
en	PRP	en
plus	ADV	plus
j'	PRO:cls	je
avais	VER:impf	avoir
j'	PRO:cls	je
avais	VER:impf	avoir
dix-neuf	NUM	@card@
ans	NOM	an
euh	INT	euh
j'	PRO:cls	je
allais	VER:impf	aller
dire	VER:infi	dire
à	PRP	à
l'	DET:def	le
époque	NOM	époque
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
an	NOM	an
quand	KON	quand
même	ADV	même
j'	PRO:cls	je
allais	VER:impf	aller
avoir	VER:infi	avoir
dix-neuf	NUM	@card@
ans	NOM	an
euh	INT	euh
enfin	ADV	enfin
j'	PRO:cls	je
en	PRO:clo	en
avais	VER:impf	avoir
dix-neuf	NUM	@card@
ans	NOM	an
euh	INT	euh
mon	DET:pos	mon
ami	NOM	ami
aussi	ADV	aussi
en	PRO:clo	en
avait	VER:impf	avoir
dix-neuf	NUM	@card@
on	PRO:cls	on
en	PRO:clo	en
avait	VER:impf	avoir
tous	PRO:ind	tout
dix-neuf	NUM	@card@
sauf	PRP	sauf
un	DET:ind	un
euh	INT	euh
membre	NOM	membre
de	PRP	de
notre	DET:pos	notre
liste	NOM	liste
qui	PRO:rel	qui
avait	VER:impf	avoir
euh	INT	euh
membre	NOM	membre
de	PRP	de
la	DET:def	le
liste	NOM	liste
qu-	TRC	qu-
je	PRO:cls	je
parle	VER:pres	parler
euh	INT	euh
qui	PRO:rel	qui
faisait	VER:impf	faire
aussi	ADV	aussi
partie	VER:pper	partir
de	PRP	de
de	PRP	de
de	PRP	de
l'	DET:def	le
initiative	NOM	initiative
de	PRP	de
se	PRO:clo	se
présenter	VER:infi	présenter
aux	PRP:det	au
éléctions	NOM	<unknown>
euh	INT	euh
qui	PRO:rel	qui
avait	VER:impf	avoir
vingt	NUM	@card@
ans	NOM	an
qu'	KON	que
il	PRO:cls	il
avait	VER:impf	avoir
un	DET:ind	un
an	NOM	an
de	PRP	de
plus	ADV	plus
que	KON	que
nous	PRO:ton	nous
euh	INT	euh
donc	ADV	donc
en	PRO:clo	en
fait	VER:pres	faire
ça	PRO:cls	ça
s'	PRO:clo	se
est	AUX:pres	être
construit	VER:pper	construire
sur	PRP	sur
une	DET:ind	un
idée	NOM	idée
totalement	ADV	totalement
folle	ADJ	fou
donc	ADV	donc
de	PRP	de
mon	DET:pos	mon
de	PRP	de
mon	DET:pos	mon
ami	NOM	ami
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
¤N¤	NAM	¤N¤
et	KON	et
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
été	VER:pper	être
le	DET:def	le
premier	ADJ	premier
au	PRP:det	au
courant	NOM	courant
parce	TRC	parce
que	KON	que
comme	KON	comme
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
dit	VER:pper	dire
auparavant	ADV	auparavant
je	PRO:cls	je
je	PRO:cls	je
le	PRO:clo	le
connaissais	VER:impf	connaître
pas	ADV	pas
tellement	ADV	tellement
plus	ADV	plus
que	KON	que
ça	PRO:ton	ça
je	PRO:cls	je
l'	PRO:clo	le
avais	AUX:impf	avoir
rencontré	VER:pper	rencontrer
pendant	PRP	pendant
une	DET:ind	un
émission	NOM	émission
radio	NOM	radio
et	KON	et
on	PRO:cls	on
était	AUX:impf	être
resté	VER:pper	rester
en	PRP	en
contact	NOM	contact
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
était	VER:impf	être
dans	PRP	dans
la	DET:def	le
même	ADJ	même
filière	NOM	filière
dans	PRP	dans
la	DET:def	le
même	ADJ	même
fac	NOM:trc	faculté
et	KON	et
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
se	PRO:clo	se
croisait	VER:impf	croiser
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
mais	KON	mais
sinon	ADV	sinon
auparavant	ADV	auparavant
je	PRO:cls	je
l'	PRO:clo	le
avais	AUX:impf	avoir
jamais	ADV	jamais
rencontré	VER:pper	rencontrer
et	KON	et
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
il	PRO:cls	il
avait	AUX:impf	avoir
mis	VER:pper	mettre
au	PRP:det	au
courant	NOM	courant
ses	DET:pos	son
amis	NOM	ami
les	DET:def	le
plus	ADV	plus
proches	ADJ	proche
donc	ADV	donc
à	PRP	à
savoir	VER:infi	savoir
un	DET:ind	un
certain	ADJ	certain
¤Pren¤	NAM	<unknown>
un	DET:ind	un
certain	ADJ	certain
¤Pren¤	NAM	<unknown>
et	KON	et
euh	INT	euh
et	KON	et
euh	INT	euh
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
allait	VER:impf	aller
être	VER:infi	être
euh	INT	euh
quatre	NUM	@card@
à	PRP	à
gérer	VER:infi	gérer
euh	INT	euh
à	PRP	à
gérer	VER:infi	gérer
ces	DET:dem	ce
élections	NOM	élection
et	KON	et
d'	PRP	un
ailleurs	ADV	ailleurs
aujourd'hui	ADV	aujourd'hui
euh	INT	euh
quand	KON	quand
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
quand	KON	quand
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
évènement	NOM	<unknown>
euh	INT	euh
tous	DET:pre	tout
les	DET:def	le
quatres	NOM	<unknown>
on	PRO:cls	on
nous	PRO:clo	nous
appelle	VER:pres	appeler
on	PRO:cls	on
s'	PRO:clo	se
appelle	VER:pres	appeler
la	DET:def	le
bande	NOM	bande
de	PRP	de
quatre	NUM	@card@
la	DET:def	le
bande	NOM	bande
des	PRP:det	du
quatre	NUM	@card@
donc	ADV	donc
qu'	KON	que
on	PRO:cls	on
fasse	VER:subp	faire
une	DET:ind	un
petite	ADJ	petit
soirée	NOM	soirée
ou	KON	ou
quelque	ADJ	<unknown>
chose	NOM	chose
en	PRP	en
rapport	NOM	rapport
avec	PRP	avec
la	DET:def	le
les	DET:def	le
élections	NOM	élection
ou	KON	ou
en	PRP	en
rapport	NOM	rapport
avec	PRP	avec
la	DET:def	le
politique	NOM	politique
on	PRO:cls	on
s'	PRO:clo	se
appelait	VER:impf	appeler
donc	ADV	donc
la	DET:def	le
la	DET:def	le
bande	NOM	bande
des	PRP:det	du
quatres	NOM	<unknown>
euh	INT	euh
donc	ADV	donc
pour	PRP	pour
entrer	VER:infi	entrer
plus	ADV	plus
dans	PRP	dans
les	DET:def	le
détails	NOM	détail
de	PRP	de
de	PRP	de
cet	DET:dem	ce
évènement	NOM	<unknown>
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
vraiment	ADV	vraiment
marqué	VER:pper	marquer
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
hum	FNO	hum
s'	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
truc	NOM	truc
qui	PRO:rel	qui
était	VER:impf	être
absolument	ADV	absolument
exceptionnel	ADJ	exceptionnel
c'	PRO:cls	ce
était	VER:impf	être
quand	KON	quand
on	PRO:cls	on
fait	VER:pres	faire
notre	DET:pos	notre
premier	ADJ	premier
meeting	NOM	meeting
et	KON	et
encore	ADV	encore
meeting	NOM	meeting
c'	PRO:cls	ce
est	VER:pres	être
peut-être	ADV	peut-être
un	DET:ind	un
peu	NOM	peu
fort	ADJ	fort
comme	KON	comme
mot	NOM	mot
puisque	KON	puisque
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
dans	PRP	dans
la	DET:def	le
ville	NOM	ville
de	PRP	de
¤T¤	NAM	¤T¤
on	PRO:cls	on
avait	VER:impf	avoir
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
nationnal	NOM	<unknown>
quoi	INT	quoi
donc	ADV	donc
plutôt	ADV	plutôt
que	KON	que
de	PRP	de
dire	VER:infi	dire
meeting	NOM	meeting
on	PRO:cls	on
devrait	VER:cond	devoir
plutôt	ADV	plutôt
parler	VER:infi	parler
de	PRP	de
réunion	NOM	réunion
publique	ADJ	public
ce	PRO:cls	ce
serait	VER:cond	être
plus	ADV	plus
adapté	VER:pper	adapter
euh	INT	euh
à	PRP	à
la	DET:def	le
forme	NOM	forme
au	PRP:det	au
but	NOM	but
qu'	PRO:rel	que
était	AUX:impf	être
fixé	VER:pper	fixer
et	KON	et
surtout	ADV	surtout
au	PRP:det	au
nombre	NOM	nombre
de	PRP	de
personnes	NOM	personne
qui	PRO:rel	qui
étaient	VER:impf	être
présentes	ADJ	présent
parce	TRC	parce
que	KON	que
même	ADV	même
si	KON	si
on	PRO:cls	on
avait	VER:impf	avoir
que	KON	que
dix-neuf	NUM	@card@
ans	NOM	an
même	ADJ	même
si	KON	si
on	PRO:cls	on
était	VER:impf	être
sûrs	ADJ	sûr
de	PRP	de
pas	ADV	pas
de	PRP	de
pas	ADV	pas
gagner	VER:infi	gagner
le	DET:def	le
poste	NOM	poste
de	PRP	de
la	DET:def	le
mairie	NOM	mairie
d'	PRP	un
ailleurs	ADV	ailleurs
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
du	DET:par	du
tout	DET:pre	tout
l'	DET:def	le
objectif	NOM	objectif
on	PRO:cls	on
a	VER:pres	avoir
quand	KON	quand
même	ADV	même
réussi	VER:pper	réussir
à	PRP	à
ramener	VER:infi	ramener
euh	INT	euh
à	PRP	à
chaque	DET:ind	chaque
réunion	NOM	réunion
à	PRP	à
chaque	DET:ind	chaque
meeting	NOM	meeting
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
qu'	KON	que
on	PRO:cls	on
en	PRO:clo	en
a	AUX:pres	avoir
fait	VER:pper	faire
deux	NUM	@card@
euh	INT	euh
donc	ADV	donc
une	DET:ind	un
avant	NOM	avant
le	DET:def	le
premier	ADJ	premier
tour	NOM	tour
évidemment	ADV	évidemment
et	KON	et
l'	DET:def	le
autre	ADJ	autre
entre	PRP	entre
à	PRP	à
l'	DET:def	le
entre-deux	NUM	<unknown>
tours	NOM	tour
on	PRO:cls	on
a	AUX:pres	avoir
ramené	VER:pper	ramener
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
deux	NUM	@card@
cents	NUM	@card@
à	PRP	à
deux	NUM	@card@
cents	NUM	@card@
cinquante	NUM	@card@
personnes	NOM	personne
dans	PRP	dans
une	DET:ind	un
ville	NOM	ville
qui	PRO:rel	qui
compte	VER:pres	compter
cinq	NUM	@card@
mille	NUM	@card@
habi-	NOM	<unknown>
quatre	NUM	@card@
mi-	TRC	mi-
non	FNO	non
quatre	NUM	@card@
mille	NUM	@card@
euh	INT	euh
quatre	NUM	@card@
mille	NUM	@card@
et	KON	et
quelques	DET:ind	quelque
habitants	NOM	habitant
euh	INT	euh
donc	ADV	donc
c'	PRO:cls	ce
était	VER:impf	être
absolument	ADV	absolument
exceptionnel	ADJ	exceptionnel
quand	KON	quand
on	PRO:cls	on
avait	VER:impf	avoir
euh	INT	euh
quand	KON	quand
on	PRO:cls	on
a	VER:pres	avoir
on	PRO:cls	on
a	VER:pres	avoir
dix-neuf	NUM	@card@
ans	NOM	an
on	PRO:cls	on
se	PRO:clo	se
lance	VER:pres	lancer
en	PRP	en
politique	NOM	politique
on	PRO:cls	on
y	PRO:clo	y
connaît	VER:pres	connaître
strictement	ADV	strictement
rien	PRO:ind	rien
la	DET:def	le
seule	ADJ	seul
chose	NOM	chose
qu'	KON	que
on	PRO:cls	on
connaît	VER:pres	connaître
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
était	VER:impf	être
en	PRP	en
cours	NOM	cours
on	PRO:cls	on
est	VER:pres	être
on	PRO:cls	on
est	VER:pres	être
en	PRP	en
histoire	NOM	histoire
en	PRP	en
histoire	NOM	histoire
politique	ADJ	politique
donc	ADV	donc
on	PRO:cls	on
étudie	VER:pres	étudier
le	DET:def	le
droit	NOM	droit
les	DET:def	le
institutions	NOM	institution
euh	INT	euh
bah	INT	bah
la	DET:def	le
science	NOM	science
politique	ADJ	politique
l'	DET:def	le
histoire	NOM	histoire
politique	ADJ	politique
l'	DET:def	le
histoire	NOM	histoire
de	PRP	de
la	DET:def	le
politique	NOM	politique
et	KON	et
euh	INT	euh
l'	DET:def	le
histoire	NOM	histoire
des	PRP:det	du
des	PRP:det	du
politiques	NOM	politique
aussi	ADV	aussi
et	KON	et
euh	INT	euh
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
le	DET:def	le
c-	TRC	c-
c-	TRC	c-
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
connaissait	VER:impf	connaître
c'	PRO:cls	ce
était	VER:impf	être
notre	DET:pos	notre
culture	NOM	culture
notre	DET:pos	notre
euh	INT	euh
notre	DET:pos	notre
euh	INT	euh
ainsi	ADV	ainsi
que	KON	que
les	DET:def	le
cours	NOM	cours
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
suivis	VER:pper	suivre
puis	KON	puis
notre	DET:pos	notre
euh	INT	euh
notre	DET:pos	notre
notre	DET:pos	notre
intérêt	NOM	intérêt
qu'	KON	que
on	PRO:cls	on
avait	VER:impf	avoir
vraiment	ADV	vraiment
dans	PRP	dans
ce	DET:dem	ce
domaine	NOM	domaine
là	ADV	là
et	KON	et
quand	KON	quand
on	PRO:cls	on
s'	PRO:clo	se
est	AUX:pres	être
lancé	VER:pper	lancer
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
un	DET:ind	un
peu	NOM	peu
de	PRP	de
mal	NOM	mal
à	PRP	à
faire	VER:infi	faire
notre	DET:pos	notre
liste	NOM	liste
certes	ADV	certes
qui	PRO:rel	qui
s'	PRO:clo	se
appelait	VER:impf	appeler
d'	PRP	un
ailleurs	ADV	ailleurs
l'	DET:def	le
alternatixxx	NOM	<unknown>
deux	NUM	@card@
mille	NUM	@card@
quatorze	NUM	@card@
alternative	NOM	alternative
je	PRO:cls	je
préfère	VER:pres	préférer
préciser	VER:infi	préciser
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
qui	PRO:rel	qui
n'	ADV	ne
a	VER:pres	avoir
strictement	ADV	strictement
rien	PRO:ind	rien
à	PRP	à
voir	VER:infi	voir
avec	PRP	avec
le	DET:def	le
avec	PRP	avec
le	DET:def	le
mouvement	NOM	mouvement
qui	PRO:rel	qui
a	AUX:pres	avoir
été	AUX:pper	être
créé	VER:pper	créer
d'	PRP	un
où	PRO:int	où
euh	INT	euh
dont	PRO:rel	dont
est	AUX:pres	être
sorti	VER:pper	sortir
dont	PRO:rel	dont
dont	PRO:rel	dont
est	AUX:pres	être
sortie	VER:pper	sortir
l'	DET:def	le
union	NOM	union
de	PRP	de
de	PRP	de
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
du	PRP:det	du
MoDem	NOM	<unknown>
euh	INT	euh
on	PRO:cls	on
l'	PRO:clo	le
utilise	VER:pres	utiliser
totalement	ADV	totalement
indépendante	ADJ	indépendant
aucun	PRO:ind	aucun
parti	VER:pper	partir
derrière	PRP	derrière
nous	PRO:ton	nous
euh	INT	euh
sans	PRP	sans
étiquette	NOM	étiquette
et	KON	et
euh	INT	euh
euh	INT	euh
ce	PRO:dem	ce
qui	PRO:rel	qui
était	VER:impf	être
tout	PRO:ind	tout
à	PRP	à
fait	NOM	fait
exceptionnel	ADJ	exceptionnel
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
monter	VER:infi	monter
une	DET:ind	un
liste	NOM	liste
sans	PRP	sans
trop	ADV	trop
de	PRP	de
difficulté	NOM	difficulté
on	PRO:cls	on
était	VER:impf	être
les	DET:def	le
premiers	ADJ	premier
à	PRP	à
l'	PRO:clo	le
avoir	VER:infi	avoir
déposée	VER:pper	déposer
d'	PRP	un
ailleurs	ADV	ailleurs
on	PRO:cls	on
a	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
trouver	VER:infi	trouver
une	DET:ind	un
liste	NOM	liste
sans	PRP	sans
trop	ADV	trop
de	PRP	de
diffuculté	NOM	<unknown>
et	KON	et
euh	INT	euh
contrairement	ADV	contrairement
à	PRP	à
ce	PRO:dem	ce
que	PRO:rel	que
les	DET:def	le
gens	NOM	gens
pensaient	VER:impf	penser
au	PRP:det	au
début	NOM	début
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
se	PRO:clo	se
disait	VER:impf	dire
à	PRP	à
¤T¤	NAM	¤T¤
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
mais	KON	mais
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
qu'	KON	que
une	DET:ind	un
liste	NOM	liste
de	PRP	de
jeunes	ADJ	jeune
que	KON	que
des	DET:ind	un
étudiants	NOM	étudiant
euh	INT	euh
que	KON	que
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
viennent	VER:pres	venir
juste	ADV	juste
d'	PRP	un
avoir	VER:infi	avoir
dix-huit	NUM	@card@
ans	NOM	an
qui	PRO:rel	qui
sont	VER:pres	être
là	ADV	là
pour	PRP	pour
combler	VER:infi	combler
les	DET:def	le
trous	NOM	trou
il	PRO:cls	il
va	VER:pres	aller
y	PRO:clo	y
va	VER:pres	aller
avoir	VER:infi	avoir
la	DET:def	le
moitié	NOM	moitié
de	PRP	de
la	DET:def	le
famille	NOM	famille
pour	PRP	pour
certains	PRO:ind	certains
alors	ADV	alors
certes	ADV	certes
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
le	DET:def	le
père	NOM	père
de	PRP	de
¤N¤	NAM	¤N¤
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
euh	INT	euh
la	DET:def	le
mère	NOM	mère
de	PRP	de
de	PRP	de
son	DET:pos	son
ami	NOM	ami
¤Pren¤	NAM	<unknown>
mais	KON	mais
enfin	ADV	enfin
puis	KON	puis
peut-être	ADV	peut-être
et	KON	et
je	PRO:cls	je
crois	VER:pres	croire
la	DET:def	le
soeur	NOM	soeur
de	PRP	de
¤Pren¤	NAM	<unknown>
mais	KON	mais
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
euh	INT	euh
on	PRO:cls	on
a	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
monter	VER:infi	monter
une	DET:ind	un
liste	NOM	liste
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
pas	ADV	pas
que	KON	que
des	DET:ind	un
jeunes	ADJ	jeune
la	DET:def	le
moyenne	NOM	moyenne
d'	PRP	un
âge	NOM	âge
était	VER:impf	être
de	PRP	de
donc	ADV	donc
elle	PRO:cls	elle
était	VER:impf	être
assez	ADV	assez
jeune	ADJ	jeune
comparée	ADJ	comparé
aux	PRP:det	au
deux	NUM	@card@
autres	ADJ	autre
euh	INT	euh
aux	PRP:det	au
deux	NUM	@card@
autres	ADJ	autre
candidats	NOM	candidat
j'	PRO:cls	je
y	PRO:clo	y
reviendrai	VER:futu	revenir
plus	ADV	plus
tard	ADV	tard
d'	PRP	un
ailleurs	ADV	ailleurs
qui	PRO:rel	qui
avaient	AUX:impf	avoir
une	DET:ind	un
moyenne	NOM	moyenne
d'	PRP	un
âge	NOM	âge
de	PRP	de
soixante	NUM	@card@
et	KON	et
quelques	DET:ind	quelque
quelques	DET:ind	quelque
années	NOM	année
nous	PRO:ton	nous
on	PRO:cls	on
avait	VER:impf	avoir
une	DET:ind	un
moyenne	NOM	moyenne
d'	PRP	un
âge	NOM	âge
de	PRP	de
trente	NUM	@card@
deux	NUM	@card@
ans	NOM	an
euh	INT	euh
donc	ADV	donc
oui	FNO	oui
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
liste	NOM	liste
assez	ADV	assez
jeune	ADJ	jeune
jeune	ADJ	jeune
donc	ADV	donc
dynamique	ADJ	dynamique
et	KON	et
qui	PRO:rel	qui
qui	PRO:rel	qui
voulait	VER:impf	vouloir
vraiment	ADV	vraiment
euh	INT	euh
qui	PRO:rel	qui
trouvait	VER:impf	trouver
le	DET:def	le
projet	NOM	projet
tout	ADV	tout
à	PRP	à
fait	NOM	fait
viable	ADJ	viable
et	KON	et
tout	PRO:ind	tout
à	PRP	à
fait	NOM	fait
envisageable	ADJ	envisageable
et	KON	et
tout	PRO:ind	tout
à	PRP	à
fait	NOM	fait
même	ADV	même
respectueux	ADJ	respectueux
des	DET:ind	un
gens	NOM	gens
euh	INT	euh
et	KON	et
de	PRP	de
