voilà	FNO	voilà
vous	PRO:clo	vous
concentrez	VER:pres	concentrer
sur	PRP	sur
euh	INT	euh
les	DET:def	le
enfants	NOM	enfant
ou	KON	ou
sur	PRP	sur
les	DET:def	le
enfin	ADV	enfin
là	ADV	là
je	PRO:cls	je
viens	VER:pres	venir
de	PRP	de
voir	VER:infi	voir
un	DET:ind	un
adulte	NOM	adulte
mais	KON	mais
oui	FNO	oui
oui	FNO	oui
ouais	FNO	ouais
vous	PRO:cls	vous
avez	VER:pres	avoir
les	DET:def	le
deux	NUM	@card@
quand	KON	quand
même	ADV	même
ouais	FNO	ouais
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
hum	FNO	hum
et	KON	et
vous	PRO:cls	vous
êtes	AUX:pres	être
pas	ADV	pas
spécialisée	VER:pper	spécialiser
dans	PRP	dans
dans	PRP	dans
dans	PRP	dans
un	DET:ind	un
cas	NOM	cas
par	PRP	par
exemple	NOM	exemple
la	DET:def	le
surdité	NOM	surdité
ou	KON	ou
euh	INT	euh
non	FNO	non
non	FNO	non
par	PRP	par
contre	ADV	contre
je	PRO:cls	je
fais	VER:pres	faire
pas	ADV	pas
du	DET:par	du
tout	ADV	tout
de	PRP	de
maths	NOM:trc	mathématique
j'	PRO:cls	je
ai	AUX:pres	avoir
décidé	VER:pper	décider
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
de	PRP	de
maths	NOM:trc	mathématique
de	PRP	de
pas	ADV	pas
faire	VER:infi	faire
de	PRP	de
maths	NOM:trc	mathématique
sinon	ADV	sinon
d'	PRP	un
accord	NOM	accord
tout	DET:pre	tout
le	DET:def	le
rete	NOM	<unknown>
je	PRO:cls	je
d'	PRP	un
accord	NOM	accord
d'	PRP	un
accord	NOM	accord
ouais	FNO	ouais
bon	INT	bon
alors	ADV	alors
euh	INT	euh
par	PRP	par
rapport	NOM	rapport
aux	PRP:det	au
patients	NOM	patient
vous	PRO:cls	vous
les	PRO:clo	le
vouvoyez	VER:pres	vouvoyer
vous	PRO:cls	vous
les	PRO:clo	le
tutoyez	VER:pres	tutoyer
euh	INT	euh
alors	ADV	alors
les	DET:def	le
adultes	NOM	adulte
systématiquement	ADV	systématiquement
je	PRO:cls	je
les	PRO:clo	le
vouvoie	VER:pres	vouvoyer
les	DET:def	le
enfants	NOM	enfant
euh	INT	euh
pff	INT	pff
bon	INT	bon
je	PRO:cls	je
les	PRO:clo	le
tutoie	VER:pres	tutoyer
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
des	PRP:det	du
petits	ADJ	petit
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
déjà	ADV	déjà
posée	VER:pper	poser
la	DET:def	le
question	NOM	question
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
euh	INT	euh
des	DET:ind	un
enfants	NOM	enfant
qui	PRO:rel	qui
étaient	VER:impf	être
en	PRP	en
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
eu	VER:pper	avoir
un	DET:ind	un
en	PRP	en
particulier	ADJ	particulier
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
suivi	VER:pper	suivre
en	PRP	en
première	ADJ	premier
terminale	NOM	terminale
hum	FNO	hum
hum	FNO	hum
bon	INT	bon
on	PRO:cls	on
se	PRO:clo	se
met	VER:pres	mettre
d'	DET:ind	un
accord	NOM	accord
ensemble	ADV	ensemble
hum	FNO	hum
hum	FNO	hum
quoi	INT	quoi
on	PRO:cls	on
se	PRO:clo	se
on	PRO:cls	on
demande	VER:pres	demander
oui	FNO	oui
en	PRP	en
général	ADJ	général
et	KON	et
ils	PRO:cls	il
disent	VER:pres	dire
que	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
les	PRO:clo	le
les	PRO:clo	le
tutoyer	VER:infi	tutoyer
parce	TRC	parce
que	KON	que
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
des	DET:ind	un
oui	FNO	oui
oui	FNO	oui
des	DET:ind	un
jeunes	ADJ	jeune
hein	INT	hein
des	PRP:det	du
jeunes	ADJ	jeune
oui	FNO	oui
oui	FNO	oui
et	KON	et
du	PRP:det	du
coup	NOM	coup
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
vous	PRO:cls	vous
les	PRO:clo	le
appelez	VER:pres	appeler
par	PRP	par
leur	DET:pos	leur
prénom	NOM	prénom
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
et	KON	et
les	DET:def	le
adultes	NOM	adulte
bien	ADV	bien
sûr	ADJ	sûr
aussi	ADV	aussi
ou	KON	ou
les	DET:def	le
adultes	NOM	adulte
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
du	PRP:det	du
monsieur	NOM	monsieur
madame	NOM	madame
alors	ADV	alors
ç-	TRC	ç-
non	FNO	non
euh	INT	euh
ça	PRO:cls	ça
dépend	VER:pres	dépendre
aussi	ADV	aussi
combien	PRO:int	combien
de	PRP	de
temps	NOM	temps
on	PRO:cls	on
les	PRO:clo	le
a	VER:pres	avoir
hum	FNO	hum
hum	FNO	hum
ça	PRO:cls	ça
dépend	VER:pres	dépendre
de	PRP	de
la	DET:def	le
relation	NOM	relation
qu'	KON	que
on	PRO:cls	on
établit	VER:pres	établir
avec	PRP	avec
eux	PRO:ton	eux
hum	FNO	hum
mais	KON	mais
euh	INT	euh
non	FNO	non
je	PRO:cls	je
les	PRO:clo	le
apelle	VER:pres	<unknown>
pas	ADV	pas
par	PRP	par
leur	DET:pos	leur
prénom	NOM	prénom
hum	FNO	hum
hum	FNO	hum
d'	PRP	un
autant	ADV	autant
plus	ADV	plus
que	KON	que
s-	TRC	s-
la	DET:def	le
plupart	NOM	<unknown>
du	PRP:det	du
temps	NOM	temps
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
gens	NOM	gens
d'	PRP	un
un	DET:ind	un
certain	ADJ	certain
âge	NOM	âge
hein	INT	hein
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
vieux	ADJ	vieux
monsieurs	NOM	<unknown>
donc	ADV	donc
euh	INT	euh
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
quelques	DET:ind	quelque
fois	NOM	fois
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
gens	NOM	gens
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
plus	ADV	plus
jeunes	ADJ	jeune
mais	KON	mais
même	ADV	même
comme	KON	comme
ça	PRO:ton	ça
si	KON	si
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
une	DET:ind	un
parce	TRC	parce
que	KON	que
je	PRO:cls	je
l'	PRO:clo	le
a	AUX:pres	avoir
suis	AUX:pres	être
depuis	ADV	depuis
très	ADV	très
longtemps	ADV	longtemps
hum	FNO	hum
hum	FNO	hum
bon	INT	bon
elle	PRO:cls	elle
est	VER:pres	être
un	DET:ind	un
tout	DET:ind	tout
petit	ADJ	petit
peu	NOM	peu
elle	PRO:cls	elle
a	VER:pres	avoir
à	PRP	à
peu	NOM	peu
près	ADV	près
mon	DET:pos	mon
âge	NOM	âge
donc	ADV	donc
euh	INT	euh
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
à	PRP	à
force	NOM	force
euh	INT	euh
on	PRO:cls	on
s'	PRO:clo	se
appelle	VER:pres	appeler
par	PRP	par
son	DET:pos	son
par	PRP	par
le	DET:def	le
prénom	NOM	prénom
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
rare	ADJ	rare
quand	KON	quand
même	ADV	même
et	KON	et
eux	PRO:ton	eux
ils	PRO:cls	il
vous	PRO:clo	vous
appelent	VER:subp	<unknown>
euh	INT	euh
par	PRP	par
votre	DET:pos	votre
prénom	NOM	prénom
aussi	ADV	aussi
ou	KON	ou
euh	INT	euh
plûtot	ADJ	<unknown>
madame	NOM	madame
alors	ADV	alors
euh	INT	euh
ça	PRO:cls	ça
dépend	VER:pres	dépendre
de	PRP	de
l'	DET:def	le
âge	NOM	âge
des	PRP:det	du
enfants	NOM	enfant
en	PRP	en
général	NOM	général
les	DET:def	le
petits	NOM	petit
de	PRP	de
maternelle	ADJ	maternel
euh	INT	euh
pff	INT	pff
ils	PRO:cls	il
appellent	VER:pres	appeler
pas	ADV	pas
vraiment	ADV	vraiment
finalement	ADV	finalement
ils	PRO:cls	il
vous	PRO:clo	vous
appellent	VER:pres	appeler
pas	ADV	pas
non	FNO	non
pas	ADV	pas
vraiment	ADV	vraiment
ça	PRO:cls	ça
dépend	VER:pres	dépendre
ça	PRO:cls	ça
dépend	VER:pres	dépendre
des	DET:ind	un
enfants	NOM	enfant
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
très	ADV	très
peu	NOM	peu
qui	PRO:rel	qui
appellent	VER:pres	appeler
par	PRP	par
le	DET:def	le
prénom	NOM	prénom
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
ils	PRO:cls	il
vous	PRO:clo	vous
appelent	VER:pres	<unknown>
l'	DET:def	le
orthophoniste	NOM	orthophoniste
ou	KON	ou
oui	FNO	oui
euh	INT	euh
ben	INT	ben
ils	PRO:cls	il
nous	PRO:clo	nous
appellent	VER:pres	appeler
pas	ADV	pas
oui	FNO	oui
ils	PRO:cls	il
le	PRO:clo	le
disent	VER:pres	dire
jamais	ADV	jamais
non	FNO	non
non	FNO	non
non	FNO	non
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
est	VER:pres	être
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
tout	DET:ind	tout
petit	ADJ	petit
peu	NOM	peu
comme	KON	comme
la	DET:def	le
maîtresse	NOM	maîtresse
quand	KON	quand
on	PRO:cls	on
leur	PRO:clo	lui
demande	VER:pres	demander
le	DET:def	le
le	DET:def	le
nom	NOM	nom
de	PRP	de
la	DET:def	le
maîtresse	NOM	maîtresse
ils	PRO:cls	il
savent	VER:pres	savoir
pas	ADV	pas
hum	FNO	hum
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
maîtresse	ADJ	maître
ou	KON	ou
c'	PRO:cls	ce
est	VER:pres	être
madame	NOM	madame
mais	KON	mais
euh	INT	euh
hum	FNO	hum
hum	FNO	hum
ils	PRO:cls	il
connaissent	VER:pres	connaître
pas	ADV	pas
le	DET:def	le
prénom	NOM	prénom
de	PRP	de
la	DET:def	le
maîtresse	NOM	maîtresse
le	DET:def	le
nom	NOM	nom
de	PRP	de
la	DET:def	le
maîtresse	NOM	maîtresse
euh	INT	euh
d'	PRP	un
accord	NOM	accord
bon	INT	bon
les	DET:def	le
adultes	NOM	adulte
j'	PRO:cls	je
imagine	VER:pres	imaginer
qu'	KON	que
ils	PRO:cls	il
vous	PRO:clo	vous
vouvoient	VER:pres	vouvoyer
euh	INT	euh
oui	FNO	oui
oui	FNO	oui
hum	FNO	hum
oui	FNO	oui
oui	FNO	oui
d'	PRP	un
acco-	NOM	<unknown>
et	KON	et
euh	INT	euh
hum	FNO	hum
bon	INT	bon
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
par	PRP	par
rapport	NOM	rapport
aux	PRP:det	au
enfants	NOM	enfant
peut-être	ADV	peut-être
ou	KON	ou
aux	PRP:det	au
personnes	NOM	personne
que	KON	que
vous	PRO:cls	vous
suivez	VER:pres	suivre
depuis	ADV	depuis
longtemps	ADV	longtemps
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
avez	VER:pres	avoir
des	DET:ind	un
fois	NOM	fois
des	PRP:det	du
gestes	NOM	geste
affectueux	ADJ	affectueux
des	PRP:det	du
attentions	NOM	attention
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
les	PRO:clo	le
prendre	VER:infi	prendre
sur	PRP	sur
les	DET:def	le
genoux	NOM	genou
ou	KON	ou
par	PRP	par
exemple	NOM	exemple
faire	VER:infi	faire
-q	NOM:sig	<unknown>
faire	VER:infi	faire
quelque	ADJ	<unknown>
chose	NOM	chose
pour	PRP	pour
eux	PRO:ton	eux
euh	INT	euh
euh	INT	euh
ça	PRO:cls	ça
dépend	VER:pres	dépendre
des	DET:ind	un
enfants	NOM	enfant
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
enfants	NOM	enfant
qui	PRO:rel	qui
le	PRO:clo	le
qui	PRO:rel	qui
le	PRO:clo	le
recherche	VER:pres	rechercher
hein	INT	hein
hum	FNO	hum
qui	PRO:rel	qui
s'	PRO:clo	se
appuient	VER:pres	appuyer
euh	INT	euh
qui	PRO:rel	qui
qui	PRO:rel	qui
grimpent	VER:pres	grimper
sur	PRP	sur
les	DET:def	le
genoux	NOM	genou
et	KON	et
ça	PRO:cls	ça
arrive	VER:pres	arriver
c'	PRO:cls	ce
est	VER:pres	être
très	ADV	très
rare	ADJ	rare
quand	KON	quand
même	ADV	même
hum	FNO	hum
hein	INT	hein
euh	INT	euh
souvent	ADV	souvent
euh	INT	euh
non	FNO	non
ils	PRO:cls	il
sont	AUX:pres	être
assis	VER:pper	asseoir
enfin	ADV	enfin
moi	PRO:ton	moi
je	PRO:cls	je
les	PRO:clo	le
je	PRO:cls	je
travaille	VER:pres	travailler
avec	PRP	avec
les	DET:def	le
enfants	NOM	enfant
à	PRP	à
côté	NOM	côté
de	PRP	de
moi	PRO:ton	moi
hein	INT	hein
hum	FNO	hum
hum	FNO	hum
ils	PRO:cls	il
sont	VER:pres	être
euh	INT	euh
à	PRP	à
ma	DET:pos	mon
gauche	NOM	gauche
donc	ADV	donc
ça	PRO:cls	ça
permet	VER:pres	permettre
de	PRP	de
passer	VER:infi	passer
les	DET:def	le
feuilles	NOM	feuille
ouais	FNO	ouais
de	PRP	de
de	PRP	de
jouer	VER:infi	jouer
ensemble	ADV	ensemble
les	DET:def	le
adultes	NOM	adulte
je	PRO:cls	je
les	PRO:clo	le
ai	VER:pres	avoir
plutôt	ADV	plutôt
en	PRP	en
face	NOM	face
hum	FNO	hum
mais	KON	mais
euh	INT	euh
oui	FNO	oui
je	PRO:cls	je
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
plus	ADV	plus
de	PRP	de
la	DET:def	le
question	NOM	question
du	PRP:det	du
départ	NOM	départ
la	DET:def	le
question	NOM	question
c'	PRO:cls	ce
était	VER:impf	être
les	DET:def	le
si	KON	si
vous	PRO:cls	vous
aviez	VER:impf	avoir
des	DET:ind	un
gestes	NOM	geste
euh	INT	euh
un	DET:ind	un
peu	NOM	peu
un	DET:ind	un
peu	NOM	peu
affectueux	ADJ	affectueux
avec	PRP	avec
euh	INT	euh
avec	PRP	avec
vos	DET:pos	votre
patients	NOM	patient
ça	PRO:cls	ça
dépend	VER:pres	dépendre
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
enfants	NOM	enfant
euh	INT	euh
qui	PRO:rel	qui
tendent	VER:pres	tendre
la	DET:def	le
joue	NOM	joue
ou	KON	ou
qui	PRO:rel	qui
hein	INT	hein
quand	KON	quand
on	PRO:cls	on
sent	VER:pres	sentir
quand	KON	quand
ils	PRO:cls	il
s'	PRO:clo	se
en	PRO:clo	en
vont	VER:pres	aller
euh	INT	euh
font	VER:pres	faire
un	DET:ind	un
bisou	NOM	bisou
de	PRP	de
moi-même	PRO:ton	moi-même
non	FNO	non
oui	FNO	oui
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
je	PRO:cls	je
mais	KON	mais
bon	INT	bon
ça	PRO:cls	ça
dépend	VER:pres	dépendre
quand	KON	quand
il	PRO:cls	il
faut	VER:pres	falloir
les	DET:def	le
les	DET:def	le
consoler	VER:infi	consoler
des	DET:ind	un
fois	NOM	fois
ils	PRO:cls	il
arrivent	VER:pres	arriver
ouais	FNO	ouais
ils	PRO:cls	il
pleurent	VER:pres	pleurer
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
relativement	ADV	relativement
rare	ADJ	rare
mais	KON	mais
ça	PRO:cls	ça
arrive	VER:pres	arriver
donc	ADV	donc
euh	INT	euh
bon	INT	bon
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
la	DET:def	le
boîte	NOM	boîte
de	PRP	de
mouchoir	NOM	mouchoir
on	PRO:cls	on
leur	PRO:clo	lui
tend	VER:pres	tendre
un	DET:ind	un
mouchoir	NOM	mouchoir
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
peu	NOM	peu
la	DET:def	le
maman	NOM	maman
à	PRP	à
ce	DET:dem	ce
moment	NOM	moment
là	ADV	là
euh	INT	euh
mais	KON	mais
sinon	ADV	sinon
non	FNO	non
pas	ADV	pas
de	PRP	de
moi-même	PRO:ton	moi-même
non	FNO	non
je	PRO:cls	je
pense	VER:pres	penser
pas	ADV	pas
et	KON	et
vous	PRO:cls	vous
feriez	VER:cond	faire
pas	ADV	pas
euh	INT	euh
des	DET:ind	un
choses	NOM	chose
pour	PRP	pour
eux	PRO:ton	eux
par	PRP	par
exemple	NOM	exemple
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
en	PRP	en
dehors	ADV	dehors
de	PRP	de
du	DET:par	du
cardre	NOM	<unknown>
en	PRO:clo	en
fait	VER:pres	faire
comment	PRO:int	comment
expliquer	VER:infi	expliquer
euh	INT	euh
pff	INT	pff
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
vous	PRO:ton	vous
de	PRP	de
préciser	VER:infi	préciser
ce	PRO:dem	ce
que	PRO:rel	que
vous	PRO:cls	vous
entendez	VER:pres	entendre
par	PRP	par
là	ADV	là
oui	FNO	oui
par	PRP	par
exemple	NOM	exemple
euh	INT	euh
pff	INT	pff
leur	PRO:clo	lui
apporter	VER:infi	apporter
un	DET:ind	un
un	DET:ind	un
petit	ADJ	petit
truc	NOM	truc
à	PRP	à
manger	VER:infi	manger
ou	KON	ou
euh	INT	euh
peut	VER:pres	pouvoir
être	VER:infi	être
les	PRO:clo	le
aider	VER:infi	aider
à	PRP	à
à	PRP	à
à	PRP	à
boire	VER:infi	boire
quand	KON	quand
il	PRO:clsi	il
en	PRO:clo	en
en	PRO:clo	en
été	VER:pper	être
quand	KON	quand
il	PRO:cls	il
fait	VER:pres	faire
très	ADV	très
chaud	ADJ	chaud
ou	KON	ou
la	DET:def	le
sortie	NOM	sortie
de	PRP	de
l'	DET:def	le
école	NOM	école
ils	PRO:cls	il
arrivent	VER:pres	arriver
la	DET:def	le
maman	NOM	maman
a	AUX:pres	avoir
oublié	VER:pper	oublier
la	DET:def	le
bouteille	NOM	bouteille
bon	INT	bon
j'	PRO:cls	je
ai	VER:pres	avoir
toujours	ADV	toujours
de	PRP	de
l'	DET:def	le
eau	NOM	eau
puisque	KON	puisque
euh	INT	euh
hum	FNO	hum
bon	INT	bon
je	PRO:cls	je
parle	VER:pres	parler
beaucoup	ADV	beaucoup
donc	ADV	donc
je	PRO:cls	je
bois	VER:pres	boire
euh	INT	euh
j'	PRO:cls	je
ai	VER:pres	avoir
besoin	NOM	besoin
de	PRP	de
de	PRP	de
boisson	NOM	boisson
d'	PRP	un
eau	NOM	eau
aussi	ADV	aussi
pour	PRP	pour
la	DET:def	le
d-	TRC	d-
la	DET:def	le
réeducation	NOM	<unknown>
de	PRP	de
la	DET:def	le
déglutition	NOM	déglutition
hum	FNO	hum
hum	FNO	hum
donc	ADV	donc
j'	PRO:cls	je
ai	VER:pres	avoir
toujours	ADV	toujours
de	PRP	de
l'	DET:def	le
eau	NOM	eau
donc	ADV	donc
euh	INT	euh
oui	FNO	oui
quand	KON	quand
on	PRO:cls	on
les	PRO:clo	le
voit	VER:pres	voir
arriver	VER:infi	arriver
euh	INT	euh
r-	TRC	r-
tout	PRO:ind	tout
rouge	NOM	rouge
euh	INT	euh
oui	FNO	oui
bon	INT	bon
on	PRO:cls	on
leur	PRO:clo	lui
donne	VER:pres	donner
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
d'	PRP	un
eau	NOM	eau
euh	INT	euh
ça	PRO:cls	ça
m'	PRO:clo	me
est	AUX:pres	être
déjà	ADV	déjà
arrivé	VER:pper	arriver
euh	INT	euh
d'	PRP	un
avoir	VER:infi	avoir
euh	INT	euh
de	PRP	de
donner	VER:infi	donner
un	DET:ind	un
petit	ADJ	petit
gâteau	NOM	gâteau
puisque	KON	puisque
c'	PRO:cls	ce
est	VER:pres	être
pareil	ADJ	pareil
j'	PRO:cls	je
ai	VER:pres	avoir
des	DET:ind	un
petit	ADJ	petit
gateau	NOM	<unknown>
oui	FNO	oui
pour	PRP	pour
la	DET:def	le
réeducation	NOM	<unknown>
donc	ADV	donc
euh	INT	euh
un	DET:ind	un
enfant	NOM	enfant
la	DET:def	le
maman	NOM	maman
a	AUX:pres	avoir
oublié	VER:pper	oublier
le	DET:def	le
goûter	NOM	goûter
euh	INT	euh
oui	FNO	oui
bon	INT	bon
il	PRO:cls	il
sort	VER:pres	sortir
de	PRP	de
l'	DET:def	le
école	NOM	école
euh	INT	euh
bon	INT	bon
on	PRO:cls	on
donne	VER:pres	donner
un	DET:ind	un
petit	ADJ	petit
gâteau	NOM	gâteau
mais	KON	mais
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
non	FNO	non
hum	FNO	hum
hum	FNO	hum
je	PRO:cls	je
par	PRP	par
exemple	NOM	exemple
je	PRO:cls	je
ne	ADV	ne
donne	VER:pres	donner
jamais	ADV	jamais
de	PRP	de
bonbon	NOM	bonbon
oui	FNO	oui
je	PRO:cls	je
ne	ADV	ne
récompense	VER:pres	récompenser
pas	ADV	pas
enfin	ADV	enfin
je	PRO:cls	je
hum	FNO	hum
je	PRO:cls	je
sais	VER:pres	savoir
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:rel	qui
le	PRO:clo	le
font	VER:pres	faire
moi	PRO:ton	moi
jamais	ADV	jamais
j'	PRO:cls	je
ai	AUX:pres	avoir
jamais	ADV	jamais
donné	VER:pper	donner
de	PRP	de
bonbon	NOM	bonbon
et	KON	et
pourquoi	PRO:int	pourquoi
vous	PRO:cls	vous
avez	VER:pres	avoir
une	DET:ind	un
raison	NOM	raison
ou	KON	ou
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
je	PRO:cls	je
non	FNO	non
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
une	DET:ind	un
récompense	NOM	récompense
je	PRO:cls	je
non	FNO	non
je	PRO:cls	je
je	PRO:cls	je
vois	VER:pres	voir
pas	ADV	pas
pourquoi	PRO:int	pourquoi
je	PRO:cls	je
leur	PRO:clo	lui
donnerai	VER:futu	donner
euh	INT	euh
même	ADV	même
s'	KON	si
ils	PRO:cls	il
ont	AUX:pres	avoir
bien	ADV	bien
travaillé	VER:pper	travailler
je	PRO:cls	je
préfère	VER:pres	préférer
euh	INT	euh
leur	PRO:clo	lui
dire	VER:infi	dire
ben	INT	ben
tiens	INT	tiens
aujourd'hui	ADV	aujourd'hui
tu	PRO:cls	tu
as	VER:pres	avoir
particulièrement	ADV	particulièrement
bien	ADV	bien
travaillé	VER:pper	travailler
c'	PRO:cls	ce
est	VER:pres	être
très	ADV	très
bien	ADV	bien
et	KON	et
cetera	VER:futu	<unknown>
hum	FNO	hum
mais	KON	mais
pas	ADV	pas
pas	ADV	pas
passer	VER:infi	passer
par	PRP	par
les	DET:def	le
bonbons	NOM	bonbon
oui	FNO	oui
ouais	FNO	ouais
bon	INT	bon
nous	PRO:ton	nous
c'	PRO:cls	ce
est	VER:pres	être
d'	PRP	un
accord	NOM	accord
et	KON	et
euh	INT	euh
après	ADV	après
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
avez	AUX:pres	avoir
déjà	ADV	déjà
ressenti	VER:pper	ressentir
quelque	ADJ	<unknown>
chose	NOM	chose
de	PRP	de
particulier	NOM	particulier
par	PRP	par
rapport	NOM	rapport
aux	PRP:det	au
patients	NOM	patient
ça	PRO:cls	ça
peut	VER:pres	pouvoir
être	VER:infi	être
euh	INT	euh
de	PRP	de
la	DET:def	le
gêne	NOM	gêne
parfois	ADV	parfois
euh	INT	euh
peut-être	ADV	peut-être
un	DET:ind	un
peu	NOM	peu
d'	PRP	un
