bon	INT	bon
culture	NOM	culture
et	KON	et
com	NOM:trc	communication
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
deux	NUM	@card@
années	NOM	année
en	PRP	en
culture	NOM	culture
et	KON	et
com	NOM:trc	communication
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
y	PRO:clo	y
suis	AUX:pres	être
allée	VER:pper	aller
parce	TRC	parce
que	KON	que
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
comme	KON	comme
j'	PRO:cls	je
ai	AUX:pres	avoir
redoublé	VER:pper	redoubler
mon	DET:pos	mon
bac	NOM:trc	baccalauréat
je	PRO:cls	je
savais	VER:impf	savoir
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
quoi	INT	quoi
faire	VER:infi	faire
donc	ADV	donc
je	PRO:cls	je
suis	AUX:pres	être
partie	VER:pper	partir
en	PRP	en
culture	NOM	culture
et	KON	et
com	NOM:trc	communication
en	PRP	en
me	PRO:clo	me
disant	VER:ppre	dire
que	KON	que
pareil	ADV	pareil
c'	PRO:cls	ce
était	AUX:impf	être
très	ADV	très
ouvert	VER:pper	ouvrir
et	KON	et
euh	INT	euh
ça	PRO:cls	ça
pourrait	VER:cond	pouvoir
me	PRO:clo	me
permettre	VER:infi	permettre
de	PRP	de
de	PRP	de
trouver	VER:infi	trouver
ma	DET:pos	mon
voie	NOM	voie
ensuite	ADV	ensuite
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
dans	PRP	dans
l'	DET:def	le
optique	NOM	optique
de	PRP	de
faire	VER:infi	faire
une	DET:ind	un
licence	NOM	licence
en	PRP	en
culture	NOM	culture
et	KON	et
com	NOM:trc	communication
pour	PRP	pour
faire	VER:infi	faire
éduc	NOM	<unknown>
spé	ADJ:trc	spécialisé
aussi	ADV	aussi
ça	PRO:cls	ça
va	VER:pres	aller
ça	PRO:cls	ça
se	PRO:clo	se
rejoint	VER:pres	rejoindre
pas	ADV	pas
mal	ADV	mal
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
j'	PRO:cls	je
avoue	VER:pres	avouer
comme	KON	comme
quoi	INT	quoi
et	KON	et
euh	INT	euh
sauf	PRP	sauf
que	KON	que
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
je	PRO:cls	je
me	PRO:clo	me
suis	VER:pres	être
euh	INT	euh
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
rendue	VER:pper	rendre
compte	NOM	compte
que	KON	que
euh	INT	euh
je	PRO:cls	je
que	KON	que
quand	KON	quand
tu	PRO:cls	tu
quand	KON	quand
tu	PRO:cls	tu
es	VER:pres	être
psy	ADJ	psy
tu	PRO:cls	tu
peux	VER:pres	pouvoir
faire	VER:infi	faire
un	DET:ind	un
boulot	NOM	boulot
d'	PRP	un
éduc	NOM	<unknown>
alors	ADV	alors
que	KON	que
quand	KON	quand
tu	PRO:cls	tu
es	VER:pres	être
éduc	NOM	<unknown>
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
faire	VER:infi	faire
un	DET:ind	un
boulot	NOM	boulot
de	PRP	de
psy	NOM	psy
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dirigée	VER:pper	diriger
plutôt	ADV	plutôt
vers	PRP	vers
psy	NOM	psy
hum	FNO	hum
en	PRP	en
plus	ADV	plus
de	PRP	de
ça	PRO:ton	ça
j'	PRO:cls	je
ai	VER:pres	avoir
une	DET:ind	un
copine	NOM	copine
qui	PRO:rel	qui
a	VER:pres	avoir
euh	INT	euh
qui	PRO:rel	qui
a	AUX:pres	avoir
passé	VER:pper	passer
son	DET:pos	son
master	NOM	master
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
étais	VER:impf	être
euh	INT	euh
enfin	ADV	enfin
voilà	FNO	voilà
elle	PRO:cls	elle
me	PRO:clo	me
redonnait	VER:impf	redonner
cette	DET:dem	ce
euh	INT	euh
enfin	ADV	enfin
elle	PRO:cls	elle
me	PRO:clo	me
redonnait	VER:impf	redonner
la	DET:def	le
motivation	NOM	motivation
d'	PRP	un
y	PRO:clo	y
aller	VER:infi	aller
puisque	KON	puisque
c'	PRO:cls	ce
était	VER:impf	être
ma	DET:pos	mon
grande	ADJ	grand
idée	NOM	idée
depuis	ADV	depuis
que	KON	que
j'	PRO:cls	je
avais	VER:impf	avoir
quinze	NUM	@card@
ans	NOM	an
d'	PRP	un
aller	VER:infi	aller
en	PRP	en
psycho	NOM	<unknown>
mais	KON	mais
je	PRO:cls	je
m'	PRO:clo	me
étais	VER:impf	être
j'	PRO:cls	je
avais	VER:impf	avoir
un	DET:ind	un
peu	NOM	peu
euh	INT	euh
ouais	FNO	ouais
laissé	VER:pper	laisser
les	DET:def	le
l'	DET:def	le
idée	NOM	idée
à	PRP	à
côté	NOM	côté
et	KON	et
euh	INT	euh
donc	ADV	donc
voilà	FNO	voilà
et	KON	et
du	PRP:det	du
coup	NOM	coup
et	KON	et
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
dans	PRP	dans
le	DET:def	le
but	NOM	but
du	PRP:det	du
coup	NOM	coup
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
master	NOM	master
euh	INT	euh
en	PRP	en
psycho	NOM	<unknown>
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
être	VER:infi	être
euh	INT	euh
psychologue	NOM	psychologue
d'	PRP	un
accord	NOM	accord
et	KON	et
toi	PRO:ton	toi
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
as	AUX:pres	avoir
pas	ADV	pas
passé	VER:pper	passer
le	DET:def	le
concours	NOM	concours
de	PRP	de
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
après	ADV	après
ton	DET:pos	ton
bac	NOM:trc	baccalauréat
bah	INT	bah
justement	ADV	justement
je	PRO:cls	je
comptais	VER:impf	compter
en	PRO:clo	en
parler	VER:infi	parler
parce	TRC	parce
que	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
justement	ADV	justement
euh	INT	euh
quand	KON	quand
tu	PRO:cls	tu
passes	VER:pres	passer
ton	DET:pos	ton
bac	NOM:trc	baccalauréat
euh	INT	euh
quand	KON	quand
tu	PRO:cls	tu
rentres	VER:pres	rentrer
à	PRP	à
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
ils	PRO:cls	il
préfèrent	VER:pres	préférer
de	PRP	de
la	DET:def	le
maturité	NOM	maturité
et	KON	et
euh	INT	euh
ils	PRO:cls	il
aiment	VER:pres	aimer
pas	ADV	pas
trop	ADV	trop
euh	INT	euh
quand	KON	quand
tu	PRO:cls	tu
arrives	VER:pres	arriver
directement	ADV	directement
à	PRP	à
dix-huit	NUM	@card@
ans	NOM	an
et	KON	et
euh	INT	euh
bah	INT	bah
finalement	ADV	finalement
tu	PRO:cls	tu
connais	VER:pres	connaître
pas	ADV	pas
grand	ADJ	grand
chose	NOM	chose
il	PRO:cls	il
faut	VER:pres	falloir
être	VER:infi	être
assez	ADV	assez
euh	INT	euh
confiant	ADJ	confiant
euh	INT	euh
et	KON	et
euh	INT	euh
la	DET:def	le
psycho	NOM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
moins	ADV	moins
de	PRP	de
chance	NOM	chance
d'	PRP	un
avoir	VER:infi	avoir
le	DET:def	le
concours	NOM	concours
en	PRP	en
plus	ADV	plus
du	PRP:det	du
coup	NOM	coup
ouais	FNO	ouais
oui	FNO	oui
oui	FNO	oui
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
es	AUX:pres	être
interrogé	VER:pper	interroger
par	PRP	par
des	DET:ind	un
psychologues	NOM	psychologue
ils	PRO:cls	il
te	PRO:clo	te
hum	FNO	hum
ils	PRO:cls	il
t'	PRO:clo	te
analysent	VER:pres	analyser
et	KON	et
tout	PRO:ind	tout
surtout	ADV	surtout
pour	PRP	pour
l'	DET:def	le
oral	NOM	oral
c'	PRO:cls	ce
est	VER:pres	être
difficile	ADJ	difficile
et	KON	et
euh	INT	euh
la	DET:def	le
licence	NOM	licence
de	PRP	de
psycho	NOM	<unknown>
elle	PRO:cls	elle
m'	PRO:clo	me
apporte	VER:pres	apporter
pleins	ADJ	plein
de	PRP	de
choses	NOM	chose
elle	PRO:cls	elle
m'	PRO:clo	me
apprend	VER:pres	apprendre
à	PRP	à
enfin	ADV	enfin
j'	PRO:cls	je
apprends	VER:pres	apprendre
à	PRP	à
apprendre	VER:infi	apprendre
des	DET:ind	un
choses	NOM	chose
sur	PRP	sur
moi	PRO:ton	moi
je	PRO:cls	je
me	PRO:clo	me
connais	VER:pres	connaître
mieux	ADV	mieux
à	PRP	à
et	KON	et
à	PRP	à
déjà	ADV	déjà
à	PRP	à
canaliser	VER:infi	canaliser
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
ses	DET:pos	son
émotions	NOM	émotion
euh	INT	euh
franchement	ADV	franchement
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
hyper	ADV	hyper
enrichissant	ADJ	enrichissant
et	KON	et
pour	PRP	pour
le	DET:def	le
boulot	NOM	boulot
dans	PRP	dans
lequel	PRO:rel	lequel
je	PRO:cls	je
veux	VER:pres	vouloir
faire	VER:infi	faire
travailler	VER:infi	travailler
avec	PRP	avec
des	DET:ind	un
enfants	NOM	enfant
j'	PRO:cls	je
aurai	VER:futu	avoir
des	DET:ind	un
enfants	NOM	enfant
handicapés	ADJ	handicapé
j'	PRO:cls	je
aurai	VER:futu	avoir
des	DET:ind	un
enfants	NOM	enfant
à	PRP	à
problèmes	NOM	problème
je	PRO:cls	je
sais	VER:pres	savoir
que	KON	que
ça	PRO:cls	ça
va	VER:pres	aller
pas	ADV	pas
être	AUX:infi	être
facile	ADJ	facile
et	KON	et
euh	INT	euh
franchement	ADV	franchement
la	DET:def	le
psycho	NOM	<unknown>
ça	PRO:cls	ça
aide	VER:pres	aider
énormément	ADV	énormément
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
incroyable	ADJ	incroyable
et	KON	et
tout	PRO:ind	tout
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
avoir	VER:infi	avoir
une	DET:ind	un
licence	NOM	licence
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
un	DET:ind	un
plus	ADV	plus
après	ADV	après
je	PRO:cls	je
veux	VER:pres	vouloir
être	VER:infi	être
euh	INT	euh
je	PRO:cls	je
veux	VER:pres	vouloir
aller	VER:infi	aller
à	PRP	à
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
mais	KON	mais
j'	PRO:cls	je
ai	VER:pres	avoir
quand	KON	quand
même	ADV	même
un	DET:ind	un
une	DET:ind	un
petite	ADJ	petit
hésitation	NOM	hésitation
si	KON	si
par	PRP	par
exemple	NOM	exemple
euh	INT	euh
je	PRO:cls	je
trouve	VER:pres	trouver
que	KON	que
après	ADV	après
ma	DET:pos	mon
licence	NOM	licence
j'	PRO:cls	je
ai	VER:pres	avoir
absolument	ADV	absolument
envie	NOM	envie
de	PRP	de
continuer	VER:infi	continuer
et	KON	et
euh	INT	euh
et	KON	et
être	VER:infi	être
euh	INT	euh
psychologue	ADJ	psychologue
je	PRO:cls	je
préférerais	VER:cond	préférer
être	VER:infi	être
psychologue	ADJ	psychologue
clinicienne	NOM	<unknown>
et	KON	et
bah	INT	bah
euh	INT	euh
je	PRO:cls	je
continuerai	VER:futu	continuer
par	PRP	par
euh	INT	euh
à	PRP	à
partir	VER:infi	partir
de	PRP	de
là	ADV	là
mais	KON	mais
euh	INT	euh
mais	KON	mais
bon	INT	bon
euh	INT	euh
voilà	FNO	voilà
quoi	INT	quoi
euh	INT	euh
je	PRO:cls	je
trouve	VER:pres	trouver
que	KON	que
être	VER:infi	être
quand	KON	quand
tu	PRO:cls	tu
es	VER:pres	être
psychologue	ADJ	psychologue
euh	INT	euh
l'	DET:def	le
inconvénient	NOM	inconvénient
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
vachement	ADV	vachement
euh	INT	euh
un	DET:ind	un
travail	NOM	travail
de	PRP	de
recherche	NOM	recherche
faut	VER:pres	falloir
pas	ADV	pas
croire	VER:infi	croire
tu	PRO:cls	tu
as	VER:pres	avoir
beaucoup	ADV	beaucoup
de	PRP	de
boulot	NOM	boulot
à	PRP	à
côté	NOM	côté
et	KON	et
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
plutôt	ADV	plutôt
dans	PRP	dans
l'	DET:def	le
action	NOM	action
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
bouger	VER:infi	bouger
et	KON	et
ça	PRO:cls	ça
me	PRO:clo	me
convient	VER:pres	convenir|convier
pas	ADV	pas
trop	ADV	trop
je	PRO:cls	je
suis	VER:pres	être
plutôt	ADV	plutôt
actif	ADJ	actif
et	KON	et
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
énormément	ADV	énormément
de	PRP	de
boulot	NOM	boulot
euh	INT	euh
contrairement	ADV	contrairement
à	PRP	à
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
peut	VER:pres	pouvoir
croire	VER:infi	croire
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
gros	ADJ	gros
travail	NOM	travail
de	PRP	de
recherche	NOM	recherche
derrière	ADV	derrière
et	KON	et
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
facile	ADJ	facile
et	KON	et
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
je	PRO:cls	je
serai	VER:futu	être
capable	ADJ	capable
de	PRP	de
de	PRP	de
réussir	VER:infi	réussir
à	PRP	à
faire	VER:infi	faire
ça	PRO:cls	ça
en	PRO:clo	en
fait	VER:pres	faire
.	NAM	<unknown>
.	NAM	<unknown>
et	KON	et
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
décrire	VER:infi	décrire
un	DET:ind	un
peu	NOM	peu
le	DET:def	le
métier	NOM	métier
de	PRP	de
psychologue	NOM	psychologue
clinicienne	ADJ	<unknown>
ouah	INT	ouah
c'	PRO:cls	ce
est	AUX:pres	être
compliqué	VER:pper	compliquer
bah	INT	bah
bah	INT	bah
en	PRP	en
fait	NOM	fait
euh	INT	euh
tu	PRO:cls	tu
as	VER:pres	avoir
différents	ADJ	différent
types	NOM	type
de	PRP	de
de	PRP	de
psychologues	NOM	psychologue
et	KON	et
euh	INT	euh
le	DET:def	le
psychologue	ADJ	psychologue
clinicien	NOM	clinicien
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
celui	PRO:dem	celui
que	PRO:rel	que
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
dans	PRP	dans
le	DET:def	le
dans	PRP	dans
son	DET:pos	son
cabinet	NOM	cabinet
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
celui	PRO:dem	celui
qui	PRO:rel	qui
fait	VER:pres	faire
des	DET:ind	un
psychothérapies	NOM	psychothérapie
des	PRP:det	du
trucs	NOM	truc
comme	KON	comme
ça	PRO:ton	ça
il	PRO:clsi	il
s'	PRO:clo	se
intéresse	VER:pres	intéresser
plus	ADV	plus
au	PRP:det	au
psyché	NOM	psyché
et	KON	et
à	PRP	à
la	DET:def	le
psychie	NOM	<unknown>
voilà	FNO	voilà
au	PRP:det	au
psychisme	NOM	psychisme
humain	ADJ	humain
tandis	NOM	<unknown>
que	KON	que
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
la	DET:def	le
psychologie	NOM	psychologie
sociale	ADJ	social
ou	KON	ou
la	DET:def	le
psychologie	NOM	psychologie
du	PRP:det	du
travail	NOM	travail
elle	PRO:cls	elle
va	VER:pres	aller
elle	PRO:cls	elle
va	VER:pres	aller
pas	ADV	pas
s'	PRO:clo	se
intéresser	VER:infi	intéresser
vraiment	ADV	vraiment
à	PRP	à
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
tandis	NOM	<unknown>
que	KON	que
là	ADV	là
on	PRO:cls	on
entre	VER:pres	entrer
vraiment	ADV	vraiment
dans	PRP	dans
dans	PRP	dans
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
est	VER:pres	être
l'	DET:def	le
humain	NOM	humain
l'	DET:def	le
inconscient	NOM	inconscient
le	DET:def	le
conscient	ADJ	conscient
enfin	ADV	enfin
toutes	DET:pre	tout
ces	DET:dem	ce
choses	NOM	chose
là	ADV	là
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
vaste	ADJ	vaste
et	KON	et
compliqué	VER:pper	compliquer
à	PRP	à
expliquer	VER:infi	expliquer
euh	INT	euh
parce	TRC	parce
que	KON	que
après	ADV	après
le	DET:def	le
psychologue	ADJ	psychologue
social	NOM	social
par	PRP	par
exemple	NOM	exemple
il	PRO:clsi	il
pourrait	VER:cond	pouvoir
c'	PRO:cls	ce
est	VER:pres	être
celui	PRO:dem	celui
qui	PRO:rel	qui
pourrait	VER:cond	pouvoir
euh	INT	euh
qui	PRO:rel	qui
peut	VER:pres	pouvoir
euh	INT	euh
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
psychologue	ADJ	psychologue
social	NOM	social
ou	KON	ou
psychologue	NOM	psychologue
du	PRP:det	du
travail	NOM	travail
il	PRO:cls	il
peut	VER:pres	pouvoir
euh	INT	euh
il	PRO:cls	il
va	VER:pres	aller
bosser	VER:infi	bosser
dans	PRP	dans
des	DET:ind	un
entreprises	NOM	entreprise
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
celui	PRO:dem	celui
qui	PRO:rel	qui
fait	VER:pres	faire
psychologue	ADJ	psychologue
du	PRP:det	du
travail	NOM	travail
bah	INT	bah
il	PRO:clsi	il
pourra	VER:futu	pouvoir
devenir	VER:infi	devenir
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
enfin	ADV	enfin
des	DET:ind	un
trucs	NOM	truc
comme	KON	comme
ça	PRO:ton	ça
alors	ADV	alors
que	KON	que
euh	INT	euh
que	KON	que
voilà	FNO	voilà
le	DET:def	le
psychologue	ADJ	psychologue
clinicien	NOM	clinicien
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
celui	PRO:dem	celui
ou	KON	ou
que	KON	que
euh	INT	euh
bah	INT	bah
qui	PRO:rel	qui
reçoit	VER:pres	recevoir
des	DET:ind	un
patients	NOM	patient
et	KON	et
qu'	KON	que
il	PRO:clsi	il
les	PRO:clo	le
aide	VER:pres	aider
à	PRP	à
aller	VER:infi	aller
mieux	ADV	mieux
dans	PRP	dans
leur	DET:pos	leur
vie	NOM	vie
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
dans	PRP	dans
une	DET:ind	un
optique	NOM	optique
et	KON	et
toi	PRO:ton	toi
¤Pren¤	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
voudrais	VER:cond	vouloir
faire	VER:infi	faire
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
clinicienne	ADJ	<unknown>
ouais	FNO	ouais
plutôt	ADV	plutôt
après	ADV	après
d'	PRP	un
accord	NOM	accord
je	PRO:cls	je
sais	VER:pres	savoir
que	KON	que
j'	PRO:cls	je
aime	VER:pres	aimer
beaucoup	ADV	beaucoup
euh	INT	euh
j'	PRO:cls	je
aime	VER:pres	aimer
beaucoup	ADV	beaucoup
les	DET:def	le
cours	NOM	cours
de	PRP	de
de	PRP	de
psychologie	NOM	psychologie
sociale	ADJ	social
mais	KON	mais
parce	TRC	parce
que	KON	que
ça	PRO:cls	ça
ressemble	VER:pres	ressembler
beaucoup	ADV	beaucoup
à	PRP	à
la	DET:def	le
socio	NOM	<unknown>
que	KON	que
j'	PRO:cls	je
avais	VER:impf	avoir
oui	FNO	oui
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
en	PRP	en
bac	NOM	bac
.	NAM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
moi	PRO:ton	moi
aussi	ADV	aussi
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
faisait	VER:impf	faire
en	PRP	en
socio	NOM	<unknown>
ça	PRO:cls	ça
se	PRO:clo	se
rapproche	VER:pres	rapprocher
ça	PRO:cls	ça
se	PRO:clo	se
rapproche	VER:pres	rapprocher
bien	ADV	bien
ouais	FNO	ouais
mais	KON	mais
clinique	ADJ	clinique
et	KON	et
et	KON	et
pathologique	ADJ	pathologique
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
ça	PRO:ton	ça
on	PRO:cls	on
apprend	VER:pres	apprendre
des	DET:ind	un
choses	NOM	chose
sur	PRP	sur
les	DET:def	le
maladies	NOM	maladie
euh	INT	euh
enfin	ADV	enfin
vraiment	ADV	vraiment
euh	INT	euh
l'	DET:def	le
