adv:int	pourquoi
v-INF	rétablir
det&SING	le/la
n	équilibre
det&PL	des
n	chance
PCT	.
prep	dans
det&FEM&SING	la
n	société
adv:place	voilà
adj-MASC	bon
n	bref
det&SING	le/la
n	équité
prep	dans
det&FEM&SING	la
n	compétition
n	politique
prep:art	par+rapport+aux
?	médias
PCT	.
det&PL	les
?	médias
pro:rel	qui
pro:subj	vous
v:mdl	savoir
pro:subj	on
pro:obj&SING	le/la
v:aux&IMPF	avoir
v-PP	dire
det&SING	le/la
adj	autre
n	fo^n|fois
pro:rel	qui
v:mdl	faire
adv	un+peu
det&FEM&SING	la
n	pluie
conj	et
det&MASC&SING	le
adj-MASC	beau
n	temps
PCT	.
conj	donc
det&MASC&SING	le
n:prop	C
PCT	.
n:prop	S
PCT	.
n:prop	A
pro:rel	qui
v:mdl	vouloir
v-INF	dire
pro:rel	quoi
pro:y	en
n:prop	France
adv	bien+sûr
v:exist	c'est
v-PP	marquer
prep	dans
det&MASC&SING	le
n	texte
PCT	.
det&MASC&SING	le
n	conseil
adj-MASC	supérieur
prep	de
det&SING	le/la
?	audio–
det&SING	le/la
adj-MASC^adj|audiovisuel-MASC	audio+visuel
PCT	.
adv:yn	oui
det&MASC&SING	le
n	conseil
adj-MASC	supérieur
prep	de
det&SING	le/la
adj-MASC^adj|audiovisuel-MASC	audio+visuel
det:gen	quel
prep	d'après
det&MASC&SING	le
n:prop	C
PCT	.
n:prop	S
PCT	.
n:prop	A
det:gen	quel
v:mdl	devoir
v:exist&INF	être
det&MASC&SING	le
n	temps
PCT	.
prep:art	de
n	intervention
adj-MASC	minimal
prep	de
det&SING	le/la
n	opposition
conj	alors
n	politique
co	hein
conj	pour+que
det&MASC&SING	le
n	pluralisme
v:aux	être
v-PP	respecter
PCT	.
v:exist&IMPF	c'est
adj	dur
co	hein
co	hum
?	¤Pren1¤
PCT	.
det&MASC&SING	un
n	trimestre
prep	pour
det&PL	les
n:prop	J
PCT	.
n:prop	T
PCT	.
conj	et
det&PL	les
n	bulletin
prep:art	de
n	information
conj	et
det&MASC&SING	un
n	semestre
prep	pour
det&PL	les
PCT	.
n	magazine
conj	et
det&PL	les
adj-MASC	autre^adj|autre
n	émission
prep:art	de
n	programme
PCT	.
v:exist	c'est
adv	plus
adj-MASC	concis
conj	que
pro:dem	ça
conj	quand
pro:subj	on
v	regarder
adv	bien
det&PL	les
n	information
v-PP	apporter
PCT	.
prep	par
det&MASC&SING	le
n	document
prep:art	en
n	gros
v:exist	c'est
pro:subj&MASC	il
v:mdllex	falloir
det&MASC&SING	un
n	minimum
prep:art	de
v-PP	accorder
prep	à
det&SING	le/la
n	opposition
det&MASC&SING	un
n	minimum
prep	de
PCT	.
n	cinquante
adv	pour
n	cent
PCT	.
n	cinquante
adv	pour
n	cent
det&MASC&SING	du
n	temps
prep:art	de
n	accès
prep:art	aux
?	médias
prep:art	de
n	diffusion
prep	par
det&PL	les
?	médias
n	cinquante
adv	pour
n	cent
PCT	.
prep:art	du
n	temps
v-PP	accorder
prep	à
det&FEM&SING	la
n	majorité
adj-FEM	présidentiel
conj	donc
det&MASC&SING	un
n	minimum
pro:dem	ça
v:mdl	pouvoir
v-INF	monter
prep	jusqu'à
n	cent
adv	pour
n	cent
PCT	.
conj	mais
prep	pour
det&MASC&SING	le
n:prop	C
PCT	.
n:prop	S
PCT	.
n:prop	A
det&SING	le/la
n	opposition
conj	si
pro:subj&FEM	elle
v:aux	avoir
v:poss&PP	avoir
n	cinquante
adv	pour
n	cent
det&MASC&SING	du
n	temps
v-PP	accorder
prep	à
det&FEM&SING	la
n	majorité
adj-FEM	présidentiel
PCT	.
prep	hors
n	période
adj-FEM	électoral
prep:art	en
n	temps
adj-MASC	normal
pro:subj	on
v:mdl	aller
v-INF	dire
v:exist	c'est
adj	suffisant
prep	pour
v-INF	parler
prep:art	de
n	équité
conj	alors
v:exist	c'est
adv:neg	pas
PCT	.
adv	forcément
pro	tout+le+monde
adv	ne
v	trouver
adv:neg	pas
adv	forcément
pro:dem	ça
adj	juste
prep:art	en
pro&MASC	tous
det&PL	les
n	cas
pro:dem&SING	ce/ces
adv:int	est+ce+qui
v:aux	avoir
v:exist&PP	être
v-PP	décréter
PCT	.
conj	et
pro:int	qui
v:exist	être
v-PP	appliquer
prep	par
det&MASC&SING	le
n:prop	C
PCT	.
n:prop	S
PCT	.
n:prop	A
adv	d'accord
det:gen	quel
v:exist&COND	être
prep:art	en
n	pourcentage
det&MASC&SING	le
n	temps
prep:art	de
co	parole
adv	de
det&SING	le/la
n	opposition
PCT	.
pro:refl	se
pro:subj&MASC	il
v:exist&IMPF	être
adj-MASC	égal
prep	à
pro:dem&MASC&SING	celui
prep	de
det&FEM&SING	la
n	majorité
pro:dem	ça
v:exist	c'est
det&FEM&SING	une
n	question
prep	pour
det&MASC&SING	un
n	sixième
PCT	.
n	cinquante
adv	pour
n	cent
PCT	.
co	ben
adv:yn	non
n	cent
adv	pour
n	cent
pro:subj	je
?	dir–
pro:subj	je
v:aux&COND	avoir
v-PP	dire
n	cent
adv	pour
n	cent
adv	bêtement
co	hein
co	ben
v:exist	c'est
n	cent
adv	pour
n	cent
PCT	.
v:exist	c'est
adv:neg	pas
det&MASC&SING	le
n	cas
adv	justement
n	pourquoi
det&SING	le/la
n	accès
prep:art	aux
?	médias
?	est–il
det&MASC&SING	un
n	enjeu
adj	démocratique
conj	donc
v:exist&IMPF	c'est
adv	surtout
det:dem&SING	cette
PCT	.
n	question
pro:rel	qui
v:exist&IMPF	être
det&FEM&SING	la
adv	plus
adj	intéressant
n	pourquoi
det&SING	le/la
n	accès
prep:art	aux
?	médias
?	est–il
det&MASC&SING	un
n	enjeu
adj	démocratique
PCT	.
adv:yn	oui
co	euh
pro:subj	on
v:mdl	aller
?	peut–être
v-INF	changer
prep	de
prep	de
v-PPRE	intervenir
?	¤Pren2¤
PCT	.
pro:subj	je
v:mdl	savoir
adv:neg	pas
PCT	.
conj	mais
adv	si
?	¤Pren3¤
PCT	.
v:exist	c'est
prep	pour
det&FEM&SING	la
n	compétition
n	politique
PCT	.
adv:yn	oui
conj	mais
prep	avec
pro:dem	ça
pro:subj	tu
v	répondre
adv:neg	pas
prep	à
pro:int	quoi
v	servir
det&PL	les
?	médias
PCT	.
det&FEM&SING	la
n	circulation
PCT	.
?	¤Pren4¤
PCT	.
det&PL	des
n	information
PCT	.
adv:yn	oui
det&FEM&SING	la
n	diffusion
det&PL	des
n	information
adv	du+moins
pro:rel	ce+que
pro:subj	on
v:mdl	pouvoir
v-INF	appeler
det&PL	des
n	information
PCT	.
adv	souvent
v:exist	c'est
v:exist	c'est
adv:neg	pas
n	neutre
conj	alors
prep	avec
det:dem&SING	cette
?	idée–là
adv:int	comment
v-INF	construire
det&FEM&SING	la
n	réponse
PCT	.
adv:neg	pas
v-PP	compliquer
conj	pour+que
det&FEM&SING	la
n	population
det&MASC&SING	le
n	peuple
n	démocratie
det&MASC&SING	le
v:mdllex&INF	pouvoir
prep:art	au
n	peuple
v:exist	être
n	informé
PCT	.
det&PL	des
adj	différent
n	opinion
det&PL	des
adj	différent
n	idée
det&PL	des
adj	différent
n	projet
prep:art	de
n	société
prep	pour
v:mdllex&INF	pouvoir
PCT	.
prep	en
v-INF	débattre
adv	démocratiquement
pro:subj&MASC	il
v:mdl	falloir
conj	qu'
pro:subj&MASC	il
pro:y	y
v:poss	avoir
n	diffusion
conj	et
n	diffusion
conj	si
adv	possible
adj	équitable
PCT	.
prep	par
det&PL	les
?	médias
conj	donc
det&PL	les
?	médias
det:dem&MASC&SING	ce
v:exist	être
pro&MASC&PL	eux
pro:rel	qui
v	permettre
det:dem&SING	cette
n	diffusion
conj	et
n	rapide
adv	quasiment
PCT	.
adv	instantanément
pro:dem	ça
v	rentrer
prep	dans
det:gen&MASC	tous
det&PL	les
n	foyer
adv:neg	ne
?	serait–ce
conj	que
v-INF	regarder
det&PL	les
n	débat
v-PP	téléviser
PCT	.
pro	tout+le+monde
v:poss	avoir
det&FEM&SING	une
n	télé
num	deux
PCT	.
num	trois
PCT	.
adv:neg	pas
pro:subj	vous
PCT	.
prep	sauf
pro&SING	moi
adv	effectivement
conj	mais
v:exist	il+y+a
prep:art	de
adj-MASC	autre^adj|autre
n	source
prep:art	de
n	information
pro:subj	vous
v:poss	avoir
?	internet
pro:subj	vous
v:poss	avoir
det&PL	les
PCT	.
n-PL	journal
conj	et
det&FEM&SING	la
n	radio
co	hein
pro:subj	on
v:mdl	pouvoir
v:poss&INF	avoir
co	euh
det&FEM&SING	une
n	idée
prep	de
prep	de
det&MASC&SING	un
n	débat
n	politique
co	euh
det&PL	des
n	idée
pro:rel	qui
v	circuler
PCT	.
prep:art	par
n	exemple
prep	en
v-PPRE	écouter
n:prop	France
n:prop	Info
conj	mais
pro:subj	je
v	penser
conj	que
v:exist	c'est
adv:neg	pas
det:poss	votre
n	tasse
prep:art	de
n	thé
co	hein
pro:subj	vous
v:exist	c'est
adv	plutôt
PCT	.
co	euh
n:prop	Magnum
n:prop	Radio
?	{previousLGen}
conj	si
conj	mais
v:exist	c'est
adj-MASC	normal
n:prop	O
PCT	.
n:prop	K
PCT	.
conj	donc
adv	effectivement
co	hein
det&SING	le/la
n	accès
prep:art	aux
?	médias
PCT	.
v:exist	être
det&MASC&SING	un
n	enjeu
adj	démocratique
v:exist	c'est
det:dem&SING	cet
n	accès
pro:rel	qui
v	permettre
det&PL	les
adj	différent
det	aux
adj	différent
v-PP	partir
n	politique
prep	de
PCT	.
v-INF	nourrir
det&MASC&SING	le
n	débat
adj	démocratique
prep	de
v-INF	informer
det&PL	les
n	citoyen
conj	et
prep	de
v-INF	discuter
det&PL	les
n	décision
v	priser
prep	par
det&PL	les
n	gouvernement
PCT	.
conj	et
det&PL	les
n	projet
n	politique
pro:rel	qui
v:mdl&COND	pouvoir
v:exist&INF	être
adj-MASC	alternatif
prep	à
pro:dem&PL	celui
v-PASS	prendre
prep	par
det&MASC&SING	le
n	gouvernement
PCT	.
pro:dem&PL	celui
v-PP	élaborer
prep	par
det&MASC&SING	le
n	gouvernement
n:prop	O
PCT	.
n:prop	K
PCT	.
pro:subj	vous
v:aux	avoir
v-PP	noter
det:dem&PL	ces
n	réponse
det&MASC&SING	un
n	minimum
PCT	.
adv:yn	oui
PCT	.
?	est–ce–que
adv	franchement
det&PL	les
n	question
v	étayer
v-PP	compliquer
pro:subj	je
v:aux	avoir
adv:neg	pas
adv	franchement
det&SING	le/la
n	impression
PCT	.
pro:subj	je
v:aux	avoir
?	*
adv	surtout
v:poss&PP	avoir
det&SING	le/la
n	impression
conj	qu'
v:exist	il+y+en+a
pro:int	qui
v:aux	avoir
adv:neg	pas
adv	trop
v-PP	creuser
det&MASC&SING	le
n	sujet
co	hein
adv	d'accord
adv	donc
PCT	.
co	euh
prep	pour
v-INF	terminer
det:dem&MASC&SING	ce
?	point–là
v:exist	c'est
adj	suffisant
adv	alors
adv	bien
prep	sur
pro:subj	vous
v:exist	être
pro:subj	vous
v:poss	avoir
det&MASC&SING	le
n	droit
PCT	.
adv	même
adv	presque
det&SING	le/la
n	obligation
prep:art	de
n	lire
det&PL	les
n	document
conj	qu'
pro:subj	on
v:aux	avoir
adv:neg	pas
n	traité
pro:subj	je
pro:subj	vous
v	rappeler
conj	que
det&MASC&SING	le
n	livre
v:exist	être
det&MASC&SING	un
PCT	.
n	outil
prep:art	de
n	travail
adv	notamment
adv	pour
co	euh
det&SING	le/la
n	échéance
prep	de
det&FEM&SING	la
n	semaine
adj	prochain
pro:subj	je
pro:subj	vous
pro:obj&MASC&SING	le
v	rappeler
PCT	.
pro:subj	vous
v:mdl	aller
v:mdllex-INF	faire
det&SING	le/la
n	exercice
n	bilan
pro:rel	qui
v:exist	être
adv:place	en+bas
prep	de
det&FEM&SING	la
n	page
?	vingt–cinq
pro:dem&SING	ce/ces
?	est–à–dire
v-INF	reproduire
prep	de
det&FEM&SING	une
PCT	.
n	manière
adj	correct
prep	dans
det&MASC&SING	le
n	cahier
det&MASC&SING	le
n	tableau
pro:rel	qui
pro:obj	vous
v:aux	être
v-PP	proposer
adv	en
adv	un+peu+plus
adj	grand
adv	si
adv	possible
PCT	.
prep	pour
v-INF	mettre
det&PL	des
n	réponse
pro:rel	qui
v:exist	être
adv:neg	pas
adj	minuscule
conj	et
prep	de
v-INF	trouver
det&PL	des
?	contre–exemples
prep	de
det&FEM&SING	la
n	compétition
PCT	.
adj	pacifique
det&MASC&SING	du
n	pluralisme
n	politique
conj	et
prep	de
det&FEM&SING	une
n	compétition
adj	équitable
det&PL	des
?	contre–exemples
n	réel
adj	avéré
PCT	.
adj	existant
conj	ou
v:aux	avoir
v-PP	exister
conj	et
adv:yn	non
adv:neg	pas
prep	de
prep:art	de
n	vague
n	idée
adj-FEM	général
adj	flou
adv:place	voilà
conj	donc
adv	déjà
PCT	.
conj	pour
co	euh
det&FEM&SING	une
n	compétition
adj	pacifique
pro:subj	vous
v:poss	avoir
det&PL	les
n	exemple
det&PL	des
n	coup^n|coupeur
prep:art	de
n	état
co	euh
conj	qu'
pro:subj	on
v:aux	avoir
v-PP	citer
PCT	.
adv	donc
?	ceux–là
pro:subj	vous
v:mdl	pouvoir
pro:obj&PL	les
v-INF	remettre
adv	éventuellement
pro:y	en
v-INF	trouver
det:gen	quelques
pro	autres
v:exist	il+y+en+a
v:poss&PP	avoir
n	moins
v-PASS	connaître
PCT	.
adv	certes
conj	mais
v:exist	il+y+en+a
v:poss&PP	avoir
v:exist	il+y+en+a
adv	toujours
det&FEM&SING	la
n	démocratie
adv:neg	ne
v:exist	être
adv:neg	pas
adv	encore
det&MASC&SING	le
n	seul
n	modèle
PCT	.
prep:art	de
n	fonctionnement
n	politique
prep	de
det&FEM&SING	la
n	planète
co	hein
conj	et
adv	bien+sûr
prep	dans
det:gen	quelques
n	minute
pro:subj	nous
v:mdl	aller
PCT	.
v-INF	commencer
prep	à
v-INF	corriger
adj-MASC	bon
co	ça+y+est
det&MASC&SING	le
n	tableau
v:exist	être
adv	correctement
v-PP	reproduire
PCT	.
adv:neg	pas
adv	trop
adj	dur
prep	de
v:mdllex-INF	faire
n	quatre
n	ligne
conj	et
adj:num	deux
n	colonne
conj	et
conj	donc
conj	quand
pro:subj	vous
v:exist&FUT	être
n	prêt^n|prêteur
PCT	.
pro:subj	nous
v-FUT	traiter
adv:neg	pas
prep	de
det&FEM&SING	la
adj-FEM	premier
n	ligne
conj	puisque
pro:subj	je
pro:subj	vous
pro:subj&MASC	le/la
v:aux	avoir
v-PP	dire
adv	tout+à+l'heure
pro:subj	on
v:aux	avoir
adv	déjà
v-PP	évoquer
PCT	.
adv	suffisamment
prep:art	de
n	exemple
conj	mais
pro:subj	on
v:mdl	aller
?	*
v-INF	passer
adv	directement
prep:art	au
det&SING	le/la
n	histoire
det&MASC&SING	du
n	pluralisme
n	politique
PCT	.
conj	alors
?	avez–vous
det&PL	des
n	exemple
prep:art	de
?	non–pluralisme
n	politique
?	¤Pren5¤
PCT	.
prep	en
n:prop	U
PCT	.
n:prop	R
PCT	.
n:prop	S
PCT	.
n:prop	S
PCT	.
adv	vraiment
prep:art	en
n:prop	U
PCT	.
n:prop	R
PCT	.
n:prop	S
PCT	.
n:prop	S
pro:dem&SING	ce/ces
?	est–à–dire
co	euh
n	avant
co	euh
det&FEM&SING	la
n	chute
det&MASC&SING	du
n	mur
prep	de
n:prop	Berlin
adv	et+cetera
PCT	.
co	hum
PCT	.
adv:yn	oui
pro:subj&MASC	il
pro:y	y
v:aux&IMPF	avoir
pro:int	quoi
PCT	.
v:exist&IMPF	c'est
det&MASC&SING	le
n	communisme
PCT	.
adv:yn	oui
v:exist&IMPF	c'est
det&MASC&SING	le
adj	parti
n	communiste
adv	d'accord
adv:yn	oui
pro:subj&MASC	il
adv	y
v:aux&IMPF	avoir
conj	qu'
det&MASC&SING	un
n	seul
v-PP	partir
prep	dans
det:dem&MASC&SING	ce
?	cas–là
PCT	.
pro:subj	on
v:mdl	pouvoir
adv	aussi
v-INF	citer
det&FEM&SING	la
n:prop	Chine
?	maoïste
co	hein
?	pa–
n	pareil
conj	mais
conj	si
pro:subj	on
v	prendre
det&PL	des
n	exemple
?	peut–être
det&MASC&SING	un
PCT	.
n	peu
adv	plus
adj	récent
pro:dem&PL	celui
prep	dans
det&SING	le/la
n	histoire
adv	effectivement
conj	après
conj	avant
v:exist	il+y+a
adv	aussi
det&PL	les
n	monarque
adj	absolu
PCT	.
co	hein
adv	bon
v:exist&IMPF	c'est
det&MASC&SING	le
n	roi
?	¤Pren6¤
PCT	.
co	euh
det&FEM&SING	la
n:prop	Corée
prep:art	du
n:prop	Nord
det&FEM&SING	la
n:prop	Corée
prep:art	du
n:prop	Nord
PCT	.
det&FEM&SING	la
n:prop	Corée
prep:art	du
n:prop	Nord
adv	effectivement
adj	pareil
v-PP	partir
n	communiste
adv	enfin
adv	du+moins
v-PP	dire
n	communiste
?	¤Pren7¤
PCT	.
v:exist	c'est
pro:dem	ça
conj	que
pro:subj	je
v:mdl&IMPF	vouloir
v-INF	dire
PCT	.
adv	plus
n	fort
conj	si
?	il–
PCT	.
pro:dem&SING	ce/ces
adv:int	est+ce+que
pro:subj	je
v:mdl&IMPF	vouloir
v-INF	dire
PCT	.
adv	d'accord
v:exist	c'est
adv	tout
?	¤Pren6¤
PCT	.
adv:yn	non
conj	mais
PCT	.
adv:yn	oui
conj	et
pro:subj	vous
v	penser
conj	qu'
v:exist	il+y+a
conj	que
det:dem&PL	ces
adj	grand
n	cas
adv	bien
v-PP	connaître
adv	quand+même
pro:rel	qui
v	défrayer
det&MASC&SING	un
PCT	.
adv	peu^adv|peu+
det&FEM&SING	la
n	chronique
co	hein
det&FEM&SING	la
n:prop	Corée
prep:art	du
n:prop	Nord
adv	dernièrement
co	euh
v:aux	avoir
v:mdllex-PP	faire
det&SING	le/la
n	objet
prep	de
det&SING	le/la
n	intérêt
det&PL	des
n	journaliste
?	¤Pren8¤
PCT	.
co	euh
det&MASC&SING	le
n:prop	Maroc
PCT	.
det&MASC&SING	le
n:prop	Maroc
v:exist	il+y+a
conj	qu'
pro&MASC	un
v-PP	partir
n	politique
prep:art	au
n:prop	Maroc
?	est–ce–qu'
v:exist	il+y+a
adv	déjà
pro&MASC	un
v-PP	partir
n	politique
PCT	.
co	ben
adv	enfin
co	euh
adv:yn	non
v:exist	il+y+a
det&MASC&SING	un
n	roi
PCT	.
v:exist	il+y+a
det&MASC&SING	un
n	roi
pro:subj	tu
v:aux	avoir
adv:neg	pas
adv	tout+à+fait
n	tort
adv	effectivement
v:exist	c'est
det&FEM&SING	une
n	monarchie
adj-FEM	constitutionnel
adv	mais
PCT	.
det&MASC&SING	le
n	roi
v:aux	avoir
adv	énormément
prep	de
v:mdllex&INF	pouvoir
adv	donc
det&SING	le/la
n	opposition
n	politique
conj	si
pro:subj&FEM	elle
v	exister
co	euh
adv:neg	ne
v	arriver
adv:neg	pas
adv	vraiment
PCT	.
prep	à
pro:refl	se
v-INF	exprimer
conj	et
adv:neg	plus
n	proche
prep	de
pro&PL	nous
prep	en
det:dem&MASC&SING	ce
n	moment
v:exist	c'est
prep	en
v:exist	c'est
prep	en+train+de
v:exist	c'est
det&FEM&SING	la
n	guerre
adj	civil
PCT	.
co	euh
v:exist	c'est
det&FEM&SING	une
n	société
pro:int	qui
pro:rel	qui
v:mdl	aller
v:poss&INF	avoir
det&MASC&SING	du
n-SING	mal
prep	à
pro:refl	se
v-INF	remettre
prep	de
pro:rel	ce+qui
pro:refl	se
v	passer
adv:place	là
?	¤Pren7¤
PCT	.
det&FEM&SING	la
n:prop	Belgique
PCT	.
det&FEM&SING	la
n:prop	Belgique
co	oh
adv:yn	non
v:exist	il+y+a
det&MASC&SING	le
n	pluralisme
n	politique
prep	en
n:prop	Belgique
?	¤Pren9¤
PCT	.
det&FEM&SING	la
n:prop	Syrie
PCT	.
det&FEM&SING	la
n:prop	Syrie
pro:subj&MASC	il
adv	y
v:aux&IMPF	avoir
conj	qu'
det&MASC&SING	un
n	parti
pro:rel	qui
pro:refl	se
v-IMPF	présenter
det	aux
n	élection
v:exist&IMPF	c'est
pro:dem&MASC&SING	celui
adv	comment
pro:subj&MASC	il
pro:refl	se
v	appeler
PCT	.
co	euh
adv	officiellement
adv	encore
det&MASC&SING	le
n	leader
co	euh
det&MASC&SING	le
n	président
n	président
PCT	.
?	el
n:prop	Assad
PCT	.
n	oui
adv	plus
adj	fort
PCT	.
?	el
n:prop	Assad
PCT	.
?	¤Pren10¤
adv:yn	ouais
conj	mais
det:poss&MASC&SING	son
n	prénom
adv	tant
conj	qu'
prep	à
v:mdllex-INF	faire
PCT	.
n:prop	Bachar
PCT	.
n:prop	Bachar
PCT	.
n:prop	Bachir
?	el
n:prop	Assad
PCT	.
n:prop	Bachir
adv:yn	oui
PCT	.
n:prop	Bachar
pro:dem	ça
v	dépendre
adv:yn	ouais
adv	enfin
pro:subj	je
v:aux	avoir
v&PP-MASC	voir
n:prop	Bachir
?	el
n:prop	Assad
n:prop	Bachir
?	al
n:prop	Assad
adv:place	voilà
conj	donc
adv	effectivement
PCT	.
det&MASC&SING	le
n	pluralisme
n	politique
adv:neg	ne
v:exist	être
adv:neg	pas
det&FEM&SING	une
n	règle
adj-FEM	universel
adv	apparemment
co	hein
conj	et
prep	dans
det&FEM&SING	la
n	compétition
PCT	.
adj	équitable
prep:art	par
n	exemple
det&FEM&SING	la
n	compétition
adj	équitable
v:exist	c'est
pro:subj	je
pro:subj	vous
v	donner
det&MASC&SING	un
det&FEM&SING	une
n	piste
prep	pour
pro:subj	on
v:mdl	aller
v-INF	discuter
PCT	.
prep	dessus
det&PL	les
n	fraude
adj-FEM	électoral
pro:dem&SING	ce/ces
?	est–à–dire
conj	qu'
v:exist	il+y+en+a
pro:int	qui
v	tricher
prep	pour
v-INF	gagner
conj	alors
det&PL	des
n	exemple
PCT	.
det&FEM&SING	la
n:prop	Russie
prep	avec
n:prop	Poutine
PCT	.
adv	dernièrement
pro:dem	ça
v:aux	avoir
adv	un+peu
v-PP	défrayer
det&FEM&SING	la
n	chronique
v:exist	il+y+a
n	bien
det&MASC&SING	un
n	pluralisme
n	politique
prep	en
n:prop	Russie
adv	du+moins
PCT	.
v-PP	afficher
adv	mais
adj-MASC	bon
det&MASC&SING	le
adj	parti
adj	fort
v:exist	c'est
pro:dem&MASC&SING	celui
prep	de
n:prop	Vladimir
n:prop	Poutine
co	hein
conj	et
conj	donc
adv	apparemment
co	euh
det:poss&PL	ses
?	op–
PCT	.
det&SING	le/la
n	opposition
pro:subj&MASC	le/la
v:aux&IMPF	avoir
?	accusé d'
n	avoir
co	euh
v-PP	frauder
prep	en
det:gen	quelque
n	sort
pro:rel	ce+que
pro:subj	on
v	appeler
v-INF	bourrer
det&PL	les
n	urne
PCT	.
co	euh
prep	pour
v-INF	mettre
det&PL	des
n	bulletin
prep:art	de
n	gens
pro:rel	qui
adv:neg	ne
v	exister
adv:neg	pas
conj	et
pro:rel	qui
adv:neg	ne
v:mdl&COND	devoir
adv:neg	pas
v-INF	voter
prep	pour
v-INF	gagner
PCT	.
pro:int	quoi
?	est–ce
conj	que
v:exist	c'est
adj	vrai
pro:subj	je
v:aux	avoir
adv:neg	pas
adv	vraiment
v-PP	suivre
det&SING	le/la
n	affaire
pro:subj	je
v:mdl	savoir
adv:neg	pas
conj	si
pro:subj	vous
v:aux	avoir
v-PP	suivre
prep:art	en
pro&MASC	tout
det&PL	les
n	cas
PCT	.
v:exist	c'est
?	ç–
pro:dem	ça
adv	peut+être
adv	encore
n	monnaie
adj	courant
prep	sur
det&FEM&SING	la
n	planète
adv:yn	oui
adj-MASC	autre^adj|autre
n	fraude
adj-FEM	électoral
?	¤Pren7¤
PCT	.
det&MASC&SING	le
n:prop	Venezuela
PCT	.
det&MASC&SING	le
n:prop	Venezuela
prep	avec
n:prop	Hugo
n:prop	Chávez
PCT	.
adv:yn	oui
PCT	.
pro:subj&MASC	il
v:aux	être
v-PP	accuser
prep:art	de
n	fraude
PCT	.
co	ben
pro:dem	ça
v:aux	avoir
adv:neg	pas
n	été
v-PP	mentionner
