on	ouh
v:exist	il+y+a
det&FEM&SING	une
adj	petit
n	fille
PCT	.
pro:int	qui
pro:refl	se
v	appeler
prep	comme
pro&SING	toi
PCT	?
PCT	.
co	ah
conj	si
pro:subj	je
pro:y	en
v	connaître
det&FEM&SING	une
PCT	.
pro:subj	tu
pro:y	en
v	connaître
det&FEM&SING	une
PCT	?
det&FEM&SING	une
adj	grand
pro:rel	qui
v:mdllex	faire
prep	de
det&FEM&SING	la
n	danse
PCT	.
det&FEM&SING	une
adj	grand
pro:rel	qui
v:mdllex	faire
prep	de
det&FEM&SING	la
n	danse
PCT	.
?	,
v:exist	c'est
det&FEM&SING	une
n	maman
PCT	.
pro:subj&FEM	elle
pro:refl	se
v:aux	être
v-PP	casser
det&MASC&SING	le
n	bras
PCT	.
prep:art	en
v:mdllex-PPRE	faire
prep	de
det&FEM&SING	la
n	danse
PCT	?
adv:yn	non
pro:subj	je
v:mdl	savoir
adv:neg	pas
adv:int	comment
PCT	.
conj	parce
conj	que
pro&SING	moi
PCT	.
pro:subj	je
v:mdl	faire
adv:neg	pas
prep	de
det&FEM&SING	la
n	danse
PCT	.
pro:subj	je
v:mdllex	faire
prep	de
det&FEM&SING	la
?	gym
PCT	.
adv	d'accord
PCT	.
conj	et
pro:int	où
pro:subj	tu
pro:obj&SING	le/la
v:aux	avoir
v&PP-FEM	voir
det:dem&SING	cette
n	dam
PCT	?
co	ben
v:exist	c'est
n:prop	Eva
pro:rel	qui
pro:refl	me
pro:obj&SING	le/la
v:aux	avoir
v-PP	dire
PCT	.
adv	d'accord
PCT	.
conj	mais
adv	donc
pro:dem	ça
v:mdl	vouloir
v-INF	dire
conj	que
PCT	.
pro	tout+le+monde
v:poss	avoir
det&MASC&SING	un
n	prénom
conj	et
det&MASC&SING	un
n	nom
PCT	.
pro:dem&SING	ce/ces
adv:int	est+ce+que
v-PASS	dire^v|dire
n:prop	Elfie
PCT	.
co	hein
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	.
conj	et
?	est–ce
conj	que
PCT	.
pro:subj	vous
v:exist&COND	être
pro	quelqu'un
prep:art	de
pro	autre
PCT	.
conj	si
pro:subj	vous
v:poss&IMPF	avoir
det&MASC&SING	un
adj	autre
n	prénom
PCT	?
PCT	.
co	ah
pro:dem	ça
v:exist	c'est
det&FEM&SING	la
adj-FEM	premier
adj	grand
n	question
PCT	.
?	est–ce
conj	que
pro:subj	tu
v:exist&COND	être
pro	quelqu'un
prep:art	de
pro	autre
PCT	.
conj	si
pro:subj	tu
adv:neg	ne
pro:refl	te
v-IMPF	appeler
adv:neg	pas
PCT	.
conj	comme
pro:subj	tu
pro:refl	te
v	appeler
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
PCT	.
prep	à
det:poss&MASC&SING	ton
n	avis
conj	et
pro&SING	toi
PCT	?
adv:yn	non
adv:neg	plus
PCT	.
pro:subj	vous
v:exist	être
adv	d'accord
det:gen&FEM	toutes
det&PL	les
n	deux
PCT	?
adv:yn	oui
PCT	.
co	hum
PCT	.
conj	alors
?	dites–
pro&SING	moi
PCT	.
adv:int	pourquoi
PCT	?
PCT	.
adv:int	pourquoi
pro:subj	vous
adv:neg	ne
v:exist&COND	être
PCT	.
adv:neg	pas
pro	quelqu'un
prep:art	de
pro	autre
PCT	?
conj	parce
conj	qu'
pro:subj	on
adv:neg	ne
v:aux	avoir
adv:neg	pas
n	envie
PCT	.
prep	de
v-INF	changer
PCT	.
conj	parce
conj	que
pro:subj	tu
adv:neg	ne
v:poss	avoir
adv:neg	pas
n	envie
PCT	.
prep	de
v-INF	changer
PCT	?
adv:yn	non
PCT	.
?	est–ce
conj	que
pro:subj	tu
v:exist	être
adv	d'accord
PCT	.
prep	avec
pro:int	ce+que
pro:subj&FEM	elle
v:exist	être
prep	en+train+de
v-INF	dire
PCT	?
adv:yn	oui
PCT	.
conj	donc
pro&SING	toi
pro:subj	tu
v	croire
conj	que
PCT	.
conj	si
pro:subj	tu
pro:refl	te
v-IMPF	appeler
n:prop	Isabelle
PCT	?
adv:yn	non
PCT	.
co	ben
adv	si
v	attendre
PCT	.
conj	si
pro:subj	tu
pro:refl	te
v-IMPF	appeler
n:prop	Isabelle
PCT	.
?	est–ce
conj	que
pro:subj	tu
v:exist&COND	être
adv	quand+même
pro&SING	toi
PCT	?
PCT	.
co	euh
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	.
adv:int	pourquoi
PCT	?
PCT	.
conj	parce
conj	que
v:exist	c'est
pro:int	quoi
pro&SING	toi
PCT	?
PCT	.
adv:int	comment
pro:subj	on
v:mdl	pouvoir
pro:refl	se
v-INF	décrire
PCT	?
PCT	.
adv	en+tout+cas
pro:subj	on
v:aux	avoir
v-PP	apprendre
det&FEM&SING	une
n	chose
adv	ensemble
PCT	.
v:exist	c'est
adv:neg	pas
det:poss	notre
n	prénom
pro:rel	qui
v:mdllex	faire
conj	que
adv	ben
pro:subj	on
v:exist	être
pro	soi
PCT	.
adv	d'accord
PCT	?
adv:yn	oui
PCT	.
adv:place	voilà
PCT	.
co	hein
PCT	?
pro&SING	moi
pro:subj	je
v:mdl&COND	pouvoir
pro:refl	me
v-INF	appeler
n:prop	Isabelle
PCT	.
co	hein
PCT	?
conj	et
co	ben
pro:subj	je
v:exist&COND	être
adv	toujours
pro&SING	moi
PCT	.
pro:subj	tu
v:exist	être
adv	d'accord
PCT	?
adv:yn	oui
PCT	.
conj	sauf
conj	que
pro:subj	je
pro:refl	me
?	appelerais
adv:neg	pas
n:prop	Christine
PCT	.
pro:dem	ça
v:exist	c'est
adj	sûr
PCT	.
co	hein
PCT	?
pro:rel	qu'
?	est–ce
conj	que
pro:dem	ça
v-COND	changer
PCT	?
PCT	.
pro:dem	ça
v-COND	changer
conj	que
PCT	.
conj	si
pro:subj	on
v	changer
PCT	.
conj	et
conj	qu'
pro:subj	on
v	changer
pro&MASC	tout
PCT	.
conj	et
co	ben
pro:subj	on
adv:neg	ne
v:aux	avoir
adv:neg	pas
det&PL	les
adj-MASC	même^adj|même
n	cheveu
PCT	.
co	ah
pro:subj	tu
v	croire
conj	que
PCT	.
conj	si
pro:subj	je
pro:refl	me
?	appelerais
n:prop	Isabelle
PCT	.
pro:subj	je
v:poss&COND	avoir
adv:neg	pas
det&PL	les
adj-MASC	même^adj|même
n	cheveu
PCT	.
co	hein
PCT	?
pro:subj	tu
v	croire
pro:dem	ça
PCT	?
PCT	.
co	hum
PCT	.
adv:yn	ouais
PCT	?
conj	et
pro&SING	toi
pro:subj	tu
v:exist	être
adv	d'accord
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
conj	et
pro:subj	on
adv:neg	ne
v:poss&FUT	avoir
adv:neg	pas
det&FEM&SING	la
adj	même
n	tête
PCT	.
conj	et
pro:subj	on
adv:neg	ne
v:aux&COND	avoir
adv:neg	pas
det&FEM&SING	la
adj	même
n	tête
PCT	.
adv	d'accord
PCT	.
conj	donc
pro:subj	on
v:exist&COND	être
pro	quelqu'un
prep:art	de
pro	autre
PCT	.
pro:dem&SING	ce/ces
adv:int	est+ce+que
PCT	.
pro:subj	vous
v:exist	être
prep	en+train+de
pro:refl	me
v-INF	dire
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
pro:subj	on
v:exist&COND	être
pro	quelqu'un
prep:art	de
pro	autre
adv	d'accord
PCT	.
prep	à
pro:int	qui
pro:subj	on
v	donner
det&PL	des
n	nom
PCT	?
PCT	.
det	aux
n	personne
PCT	.
det	aux
n	personne
PCT	.
adv	et+puis
PCT	?
PCT	.
co	ben
conj	sinon
conj	quand
pro:subj	on
v:exist	être
n	bébé
PCT	.
det&FEM&SING	la
n	maman
pro:subj&FEM	elle
v:mdl	savoir
adv	déjà
det:poss&MASC&SING	son
n	nom
PCT	.
conj	et
co	ben
pro:subj	on
v:mdl	pouvoir
adv	déjà
det&MASC&SING	le
v:mdllex&INF	savoir
PCT	.
adv:yn	ouais
PCT	.
v:exist	c'est
adj	vrai
conj	qu'
pro:subj	on
v	donner
PCT	.
pro:subj	vous
v:mdl	savoir
conj	quand
?	est–ce
conj	qu'
pro:subj	on
PCT	.
v	donner
det&MASC&SING	le
n	nom
prep	à
det&FEM&SING	une
n	personne
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
co	ben
conj	quand
pro:subj	on
conj	quand
pro:subj	on
v	naître
PCT	.
conj	quand
pro:subj	on
v	naître
pro:dem&SING	ce/ces
?	est–à–dire
PCT	.
conj	quand
pro:subj	on
conj	quand
v:exist	c'est
det&FEM&SING	la
n	naissance
PCT	.
co	ben
pro&SING	moi
PCT	.
det:poss&SING	ma
n	maman
pro:subj&FEM	elle
v:poss	avoir
det&MASC&SING	un
n	bébé
prep	dans
det:poss&MASC&SING	son
n	ventre
PCT	.
pro:subj&FEM	elle
v:mdl	savoir
adv	déjà
PCT	.
adv:int	comment
pro:subj&MASC	il
v:mdl	aller
pro:refl	se
v-INF	appeler
PCT	.
conj	et
co	ben
conj	alors
pro:dem&SING	ce/ces
adv:int	est+ce+que
PCT	.
pro:subj	je
v:mdl&IMPF	vouloir
v-INF	dire
adv:yn	oui
PCT	.
v:exist	c'est
adv	exactement
pro:dem&SING	ce
prep	à
pro:int	quoi
pro:subj	je
v-IMPF	penser
PCT	.
conj	et
co	ben
det:poss&SING	ma
n	maman
conj	quand
conj	quand
pro:subj&FEM	elle
v:exist&IMPF	être
n	petit
PCT	.
conj	et
co	ben
pro:subj&MASC	il
pro:y	y
v:aux&IMPF	avoir
pro	quelqu'un
PCT	.
pro:int	qui
v:exist&IMPF	être
prep	dans
det:poss&MASC&SING	son
n	ventre
PCT	.
conj	et
pro:subj&FEM	elle
v:mdl	savoir
pro:subj&FEM	elle
v:mdl&IMPF	savoir
adv	déjà
PCT	.
adv:int	comment
pro:subj&FEM	elle
pro:refl	se
v-IMPF	appeler
PCT	.
pro:subj&FEM	elle
pro:refl	se
v-IMPF	appeler
n:prop	Olga
PCT	.
v:exist&IMPF	c'est
pro:int	qui
PCT	?
det:poss&SING	ma
n	maman
PCT	.
co	ah
adv:yn	oui
conj	et
co	ben
adv:yn	oui
det:poss&FEM&SING	ta
n	maman
PCT	.
conj	et
adv:place	après
pro:subj&FEM	elle
v:aux	avoir
v:mdllex-PP	faire
det&MASC&SING	un
n	bébé
PCT	.
adv:yn	oui
PCT	.
v:exist&IMPF	c'est
n:prop	Alex
adv:place	après
v:exist&IMPF	c'est
pro&SING	moi
PCT	.
adv	d'accord
adv:yn	oui
conj	donc
prep:art	en
n	fait
pro:subj	vous
v:poss	avoir
n	raison
PCT	.
pro&SING	moi
pro:subj	je
pro:refl	me
v:aux	être
v-PP	tromper
PCT	.
pro:subj	je
v:aux	avoir
v-PP	dire
conj	qu'
pro:subj	on
v-IMPF	donner
det&MASC&SING	un
n	nom
det	aux
n	enfant
PCT	.
conj	quand
pro:subj&MASC	ils
v&IMPF	naître
PCT	.
conj	mais
pro:subj	vous
pro:subj	vous
pro:refl	me
v:aux	avoir
v-PP	dire
adv:yn	non
PCT	.
pro:subj	on
pro	leur
v	donner
adv	déjà
det&MASC&SING	un
n	nom
prep	avant
PCT	.
conj	quand
pro:subj&MASC	ils
v:exist	être
adv	encore
prep	dans
det&MASC&SING	le
n	ventre
prep	de
det&FEM&SING	la
n	maman
PCT	.
adv:yn	oui
conj	parce
conj	que
det:poss&SING	ma
n	maman
pro:subj&FEM	elle
pro:refl	me
v:aux	avoir
PCT	.
pro:subj&FEM	elle
pro:refl	me
v:aux	avoir
v-PASS	dire^v|dire
conj	quand
pro:subj	je
v:aux	avoir
conj	quand
pro:subj	je
v:poss&IMPF	avoir
adj:num	cinq
n	an
PCT	.
conj	et
co	ben
pro:subj&FEM	elle
pro:refl	me
v:aux&IMPF	avoir
v-PP	dire
conj	que
PCT	.
pro:subj	je
v:mdl&IMPF	savoir
adv	déjà
det:poss&MASC&SING	ton
n	nom
PCT	.
conj	quand
pro:subj	tu
n	étai
adj	petit
PCT	.
adv:yn	ouais
conj	même
adv:neg	plus
conj	que
adj	petit
n	petit
prep	comme
pro:dem	ça
PCT	.
co	hum
PCT	.
pro:subj	tu
v:mdl	vouloir
v-INF	dire
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
adv:yn	oui
conj	et
pro&SING	toi
PCT	?
co	ben
PCT	.
pro:subj	tu
pro:refl	me
v:aux	avoir
v-PP	dire
conj	que
det:poss&FEM&SING	ta
n	maman
PCT	.
pro:subj&FEM	elle
v-IMPF	attendre
det&MASC&SING	un
n	bébé
PCT	.
adv:yn	oui
PCT	.
conj	et
conj	alors
v:exist	c'est
pro:int	quoi
det&MASC&SING	le
n	nom
prep:art	du
n	bébé
PCT	?
n:prop	Lucas
PCT	.
n:prop	Lucas
PCT	.
conj	donc
pro:subj&FEM	elle
v:mdl	savoir
adv	déjà
conj	que
v:exist	c'est
det&MASC&SING	un
n	garçon
PCT	.
adv:yn	oui
PCT	.
conj	et
adv	en+plus
v:exist	il+y+a
num	deux
n:prop	Lucas
pro:subj	je
pro:y	en
v	connaître
PCT	.
pro:int	où
?	c
?	ç–
PCT	?
PCT	.
pro&MASC	un
PCT	.
co	ah
co	ben
?	est–ce
conj	que
det:dem&MASC&SING	ce
v:exist&FUT	être
det&PL	les
adj-MASC	même^adj|même
PCT	?
adv:yn	non
adv:yn	non
pro:subj	je
v	croire
adv:neg	pas
PCT	.
adv:yn	non
pro:subj	je
v:exist	être
adv	même
adj	sûr
conj	que
adv:yn	non
co	hein
PCT	?
co	ben
pro&SING	moi
adv	aussi
PCT	.
adv:int	pourquoi
pro:dem	ça
v:exist&FUT	être
adv:neg	pas
det&PL	les
pro	mêmes
PCT	?
PCT	.
conj	parce
pro:subj&MASC	ils
v:aux	avoir
adv:neg	pas
?	m–
pro:subj&MASC	ils
?	é–
PCT	.
pro:subj&MASC	ils
v:exist&IMPF	être
adv:neg	pas
adj	né
adv	en+même+temps
PCT	.
adv:yn	ouais
PCT	.
adv	et+puis
prep	à
det:poss	votre
n	avis
PCT	?
prep	en
adv:neg	plus
pro:subj&MASC	il
v:exist	être
adv	déjà
n	grand
PCT	.
conj	et
pro&SING	lui
pro:subj&MASC	il
v:exist	être
adv	déjà
adj	petit
PCT	.
adv:yn	ouais
pro:dem	ça
v:mdllex	vouloir
?	,
v:mdl	pouvoir
adv:neg	pas
v:exist&INF	être
det&PL	les
adj-MASC	même^adj|même
PCT	.
co	hum
PCT	.
pro:subj	on
v:exist	être
adv	d'accord
PCT	?
co	hum
PCT	.
co	hum
adv:yn	oui
PCT	.
conj	donc
pro:subj	on
v:aux	avoir
v-PP	dire
conj	qu'
pro:subj	on
v-IMPF	donner
det&PL	des
n	nom
PCT	.
pro:subj	vous
v:aux	avoir
v-PP	dire
conj	qu'
pro:subj	on
v-IMPF	donner
det&PL	des
n	nom
PCT	.
det	aux
n	enfant
prep	avant
adv	même
conj	qu'
pro:subj&MASC	ils
v	naître
PCT	.
conj	quand
pro:subj&MASC	ils
v:exist	être
adv	encore
PCT	.
prep	dans
det&MASC&SING	le
n	ventre
prep	de
det:poss	leurs
n	maman
PCT	.
n	maman
PCT	.
n	maman
PCT	.
?	est–ce
conj	qu'
pro:subj	on
v	donner
det&PL	des
n	nom
prep	à
prep:art	de
adj-MASC	autre^adj|autre
n	chose
PCT	?
co	hum
adv:yn	oui
det	aux
n-MASC	chien
conj	et
det	aux
n	chat
PCT	.
adv:yn	ouais
det	aux
n-MASC	chien
conj	et
det	aux
n	chat
PCT	.
conj	et
co	ben
pro&SING	moi
det:poss&MASC&SING	mon
n	chat
pro:subj&MASC	il
pro:refl	se
v	appeler
n:prop	Nougat
PCT	.
adv:int	comment
n:prop	Nougat
PCT	?
adv:yn	oui
PCT	.
conj	et
co	ben
pro&SING	moi
det:poss&SING	ma
n	mamie
conj	et
det:poss&MASC&SING	mon
n	papi
PCT	.
pro:subj&MASC	ils
v:poss&IMPF	avoir
det&MASC&SING	un
n-MASC	chien
PCT	.
conj	mais
pro:subj&MASC	il
v:exist	être
adj	mort
PCT	.
conj	et+puis
pro:subj&FEM	elle
pro:refl	se
v-IMPF	appeler
n:prop	Spooky
PCT	.
n:prop	Spooky
PCT	?
conj	et
det:poss&SING	ma
n	mamie
conj	et
det:poss&MASC&SING	mon
n	papi
PCT	.
adv	avant
pro:subj&MASC	ils
v:poss&IMPF	avoir
det&MASC&SING	un
n-MASC	chien
PCT	.
pro:subj&MASC	il
v:exist	être
adv:neg	pas
n	mort
conj	mais
pro:subj&MASC	ils
pro:obj&SING	le/la
v:aux	avoir
v-PP	perdre
PCT	.
pro:subj&MASC	il
pro:refl	se
v:aux	être
v&PP	enfuir
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
co	ben
pro&SING	moi
pro:subj	je
v:poss&IMPF	avoir
det&MASC&SING	un
n	chat
PCT	.
pro:subj	je
pro:y	en
v:poss	avoir
det&MASC&SING	un
pro:rel	qui
pro:refl	se
v-IMPF	appeler
n:prop	Charly
?	,
n:prop	Charlie
PCT	.
pro:subj	je
pro:y	en
v:aux	avoir
PCT	.
pro:subj	je
v:poss	avoir
det&FEM&SING	une
n	chatte
pro:rel	qui
pro:refl	se
v	appeler
?	***
PCT	.
co	hum
PCT	.
conj	et
pro:subj	je
v:aux	avoir
?	,
v:poss&PP	avoir
det&MASC&SING	un
n	chat
pro:rel	qui
pro:refl	se
?	appellait
n:prop	Diogène
PCT	.
v:exist	c'est
adj-MASC	beau
n:prop	Diogène
PCT	.
adv:yn	ouais
PCT	.
conj	et
adv	maintenant
conj	et
co	ben
n:prop	Diogène
v:exist	être
adj	mort
PCT	.
conj	donc
pro:subj	on
v	attendre
prep	de
v:poss&INF	avoir
det&MASC&SING	un
?	*
PCT	.
det&PL	des
adj-MASC	autre^adj|autre
adj	petit
n	chat
PCT	.
pro:int	qui
v:mdl	aller
adv	bientôt
v&INF	naître
PCT	.
conj	mais
pro:subj	on
pro	leur
adv:neg	pas
adv	encore
v-PP	donner
prep	de
n	nom
PCT	.
co	hum
PCT	.
?	*
PCT	.
pro:subj&MASC	il
v:mdl	falloir
v:mdllex&INF	savoir
PCT	.
pro:subj&MASC	il
pro:refl	se
v	appeler
n:prop	Gédéon
PCT	.
n:prop	Gédéon
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	.
pro:subj&MASC	il
v:mdl	vouloir
PCT	.
adv:yn	ouais
PCT	.
adv	d'abord
n	savoir
adv:int	comment
pro:subj&MASC	il
pro:refl	se
v	appeler
PCT	.
adv:int	comment
pro:subj&MASC	il
pro:refl	se
v	appeler
PCT	?
adv:yn	oui
conj	quand
conj	quand
pro:subj&MASC	il
v:exist	être
adv	encore
PCT	.
prep	dans
det&MASC&SING	le
n	ventre
PCT	.
pro:subj&MASC	il
v:mdl	falloir
adv	déjà
co	euh
v:mdllex&INF	savoir
PCT	.
conj	mais
conj	si
pro:subj	tu
pro:obj&MASC&SING	le
v:mdl	savoir
adv:neg	pas
PCT	.
adv:yn	ouais
PCT	.
conj	et
co	ben
co	ben
pro:subj	tu
v:mdl	pouvoir
adv:neg	pas
det&MASC&SING	le
v:mdllex&INF	savoir
adv	encore
PCT	?
adv:yn	non
adv:yn	non
adv:yn	non
conj	et+puis
det&MASC&SING	un
n	chat
PCT	.
v:exist	c'est
adv:neg	pas
adj	pareil
PCT	.
conj	parce
conj	que
adv	souvent
det&MASC&SING	un
n	chat
PCT	.
conj	quand
pro:subj	on
pro:obj&MASC&SING	le
v	voir
PCT	.
pro:subj	on
v:poss	avoir
n	envie
PCT	.
prep	de
pro&SING	lui
v-INF	donner
det&MASC&SING	un
n	prénom
conj	ou
det&MASC&SING	un
n-MASC	chien
PCT	.
co	hum
adv:yn	ouais
PCT	.
co	hein
PCT	?
adv:place	voilà
pro&SING	moi
pro&SING	moi
pro:subj	je
v:poss	avoir
adj:num	deux
n	garçon
PCT	.
conj	et
pro:subj&MASC	ils
pro:refl	se
v	disputer
adv	déjà
PCT	.
prep	pour
v:mdllex&INF	savoir
det:gen	quel
v:exist	être
det&MASC&SING	le
n	nom
det&MASC&SING	du
n	chat
conj	qu'
pro:subj	on
n	aura
PCT	.
conj	et
prep	comme
pro:subj	on
v:mdl	savoir
adv:neg	pas
PCT	.
?	***
PCT	.
conj	si
v:exist	c'est
det&FEM&SING	une
adj	petit
n	chatte
conj	ou
det&MASC&SING	un
adj	petit
n	chat
PCT	.
conj	et
co	ben
pro:subj&MASC	ils
v:mdl	pouvoir
v:mdllex-INF	faire
adv	d'abord
PCT	.
pro:subj&MASC	ils
v:mdl	pouvoir
v:mdllex-INF	faire
PCT	.
conj	comme
pro:subj	tu
v:poss	avoir
adj:num	deux
n	chat
PCT	.
pro:subj&MASC	ils
v:mdl	pouvoir
v:mdllex-INF	faire
PCT	.
det&SING	le/la
pro	autre
v:exist	c'est
det:poss&MASC&SING	son
n	chat
conj	et
PCT	.
det&SING	le/la
pro	autre
v:exist	c'est
det:poss&MASC&SING	son
n	chat
PCT	.
adv	exactement
pro:dem&SING	ce/ces
adv:int	est+ce+que
pro:subj	on
v:mdl	aller
v:mdllex-INF	faire
PCT	.
conj	alors
conj	donc
pro:subj	on
v:aux	avoir
v-PP	apprendre
n	ensemble
PCT	.
pro:rel	qu'
pro:subj	on
v-IMPF	donner
conj	aussi
det&PL	des
n	nom
PCT	.
det	aux
n	chat
conj	et
det	aux
n-MASC	chien
PCT	.
adv:int	pourquoi
pro:subj	on
v	donner
det&PL	des
n	nom
PCT	.
det	aux
n	enfant
det	aux
n-MASC	chien
conj	et
det	aux
n	chat
PCT	.
conj	et
adv:neg	pas
co	euh
det	aux
adj-MASC	autre^adj|autre
n	chose
PCT	?
PCT	.
conj	parce
conj	que
conj	si
pro:subj	on
pro:obj&SING	le/la
v:aux	avoir
adv	déjà
v-PP	trouver
PCT	.
pro:subj	on
v:mdl	pouvoir
adv:neg	plus
v-INF	changer
PCT	.
co	hum
co	hum
PCT	.
?	est–ce
conj	qu'
pro:subj	on
v	donner
adv	encore
PCT	.
prep:art	des
n	nom
prep	à
prep:art	de
adj-MASC	autre^adj|autre
n	chose
PCT	?
pro:rel	que
det&PL	des
n	chat
conj	et
det&PL	des
n-MASC	chien
conj	et
det&PL	des
n	enfant
PCT	?
co	euh
co	euh
PCT	.
?	***
prep:art	au
n	tigre
PCT	.
conj	quand
pro:subj&MASC	il
v:aux	être
adj	petit
prep	dans
det:poss&MASC&SING	son
n	ventre
PCT	.
adv:yn	ouais
?	*
PCT	.
conj	et
det	aux
adj-MASC	autre^adj|autre
n&SING-PL	animal^n|animal
PCT	.
pro:subj	on
v:mdl	pouvoir
v-INF	donner
det&PL	des
n	nom
det	aux
adj-MASC	animal
PCT	.
adv:yn	ouais
PCT	.
adv	mais
prep	à
det:gen	quel
n&SING-PL	animal^n|animal
pro:subj	on
v	donner
det&PL	des
n	nom
PCT	?
PCT	.
det	aux
n	girafe
PCT	.
conj	quand
pro:subj&MASC	ils
v:exist	être
adj	petit
PCT	.
adv	encore
prep	dans
det&MASC&SING	le
n	ventre
PCT	.
adv:yn	ouais
v:exist	c'est
adv	possible
pro:subj	tu
v:exist	être
adv	d'accord
pro&SING	toi
PCT	?
det	aux
n	lion
co	hum
det	aux
n	lion
PCT	.
adv:yn	ouais
PCT	.
pro:subj	vous
v	penser
adv:neg	pas
conj	qu'
pro:subj	on
v	donner
det&PL	des
n	nom
PCT	.
prep:art	par
n	exemple
det	aux
n	tortue
PCT	.
adv:yn	oui
adv:int	pourquoi
det&PL	les
n	tortue
PCT	?
conj	parce
conj	que
conj	parce
conj	que
det&PL	les
n	tortue
PCT	.
pro:subj&MASC	ils
co	euh
v	pondre
det&PL	des
n	oeuf
PCT	.
pro:subj&MASC	ils
pro:obj&PL	les
v	enterrer
PCT	.
prep	dans
det&MASC&SING	un
n	sol
PCT	.
conj	et
prep	après
det&FEM&SING	la
n	maman
pro:subj&FEM	elle
pro:refl	se
v&PASS	enfuir^v|enfuir
PCT	.
conj	et
adv:place	après
pro:subj&MASC	ils
v:mdl	venir
PCT	.
pro:subj&MASC	ils
v:mdl	venir
PCT	.
adv	tout
adj	petit
PCT	.
conj	et
adv:place	après
conj	et
adv:place	après
conj	si
v:exist	il+y+a
det&MASC&SING	un
n	poisson
PCT	.
pro:int	qui
?	,
pro:obj&PL	les
v	voir
PCT	.
conj	ou
det&MASC&SING	un
n	requin
PCT	.
conj	et
co	ben
pro:subj&MASC	il
pro:obj&PL	les
v	manger
PCT	.
adv:yn	ouais
PCT	.
conj	et
pro:int	qui
v:exist	c'est
pro:int	qui
v	donner
det&MASC&SING	le
n	nom
conj	alors
det	aux
n	tortue
PCT	?
PCT	.
v:exist	c'est
det&FEM&SING	la
n	maman
PCT	.
adv:yn	ouais
PCT	.
conj	et
v:exist	il+y+a
conj	aussi
co	euh
det&PL	les
n	oiseau
PCT	.
adv:yn	oui
