,sent_id,sentence,Proportion1erePersonne,Proportion2emePersonne,Proportion3emePersonne,ProportionSingulier,ProportionPluriel
282,282,voilà .,50.0,50.0,0.0,50.0,50.0
283,283,te tiens tu mets le bébé dedans ?,50.0,50.0,0.0,50.0,50.0
284,284,regarde mets-toi je vais essayer de mettre la poussette chéri .,50.0,50.0,0.0,50.0,50.0
285,285,donne je vais le faire xxx .,50.0,50.0,0.0,50.0,50.0
286,286,tu mets-le bébé dans le la chaise-haute ?,50.0,50.0,0.0,50.0,50.0
287,287,oh attend .,50.0,50.0,0.0,50.0,50.0
288,288,ouais mets d'abord ça c'est plus simple mais regarde il y a des encoches en dessous de la poussette .,50.0,50.0,0.0,50.0,50.0
289,289,"t'as réussi ?
ah je crois que t'as mis à l'envers ?",50.0,50.0,0.0,50.0,50.0
290,290,"ouais voilà .
voilà comme ça comme ça y a là y a les jambes en dessous .",50.0,50.0,0.0,50.0,50.0
291,291,fais voir .,50.0,50.0,0.0,50.0,50.0
292,292,c'est bon ?,50.0,50.0,0.0,50.0,50.0
293,293,vas-y mets le bébé dans la p dans la chaise-haute maman elle va elle va regarder ça chéri .,50.0,50.0,0.0,50.0,50.0
