,sent_id,sentence,DiversiteDesTempsVerbaux,Proportion ind-pst,Proportion ind-ps,Proportion ind-fut,Proportion ind-impft,Proportion subj-pst,Proportion ind-cond,Proportion inf-,Proportion ind-passe_comp,Proportion ind-passe_ant,Proportion ind-fut_ant,Proportion ind-plus_que_parf,Proportion subj-passe,Proportion cond-passe,Proportion inf_passe,DiversiteDesSystTemps,passe,present,futur,Proportion_temps_compose,Proportion_temps_simple,Proportion_indicatif,Proportion_subjonctif,Proportion_infinitif
39,39,"nan il y en a un qui va rentrer ...
bah ouais mais ...
alors on le met dans un lit du grand le deuxième .
oh cool !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
40,40,Il doit être plus grand .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
41,41,"il a de la chance //.
oh nan j'ai perdu le volant !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
42,42,oh le bébé il a sursauté il a eu peur .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,43,"voilà .
tiens là ça à mon avis c'est pour une poupée ou un nounours on va mettre le nounours dedans ?",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
44,44,tiens tu continues à mettre dans la maison ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
45,45,"mais nan han@o ...
là c'est une chaise haute .
wahoo@o //.
oh nan elle promène les chats !",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,46,garde y a pleins de chats !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
47,47,"on peut mettre les chats sinon .
y a pleins de chats .",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
48,48,"tiens regarde j'ai mis j'ai mis commencé à mettre la salle à manger avec la chaise pour le bébé .
ah zut elle va pas pouvoir supporter tous les chats .
et ça ..?
^ ah ça c'est un sac .",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
49,49,"^ et ça c'est quoi ça là ?
^ Une cheminée ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
50,50,"Nan .
y a déjà une cheminée regarde .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
51,51,on va mettre ça ici pour faire la cuisine .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
52,52,Une poubelle une poubelle !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
53,53,c'est une poubelle ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
54,54,bon on va être bon //.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
55,55,sinon ça peut aussipeut-être prêt pour la cuisine .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
56,56,ah nan c'est un four !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
57,57,avec un four voilà .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
58,58,c'est un four regarde la plaque là haut où on met dedans le charbon .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,59,alors vas-y mets-le dans la cuisine comme ça je vais mettre la casserole ensuite .,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,60,tu mets la casserole toi ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
61,61,nan nan tu la mets dans la cheminée mets-le là !,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
62,62,allez hop .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
63,63,Voilà .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
64,64,ça prend forme .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
65,65,ça c'est quoi ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
66,66,^ c'est pour la chaise haute ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
67,67,"allez un chacun ...
c'est un cartable .
ah d'accord !",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
68,68,t'es chiant Tito /.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
69,69,"c'est un cartable ...
à chaque fois tu gueules .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
70,70,on va le mettre là sur le lit Ah nan ça ça va pas .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
71,71,"il miaule il en a il quand il en a marre il miaule ...
tiens on va mettre sur le lit le cartable hop .
ah ça tient pas .",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
72,72,après c'est un peu énervant !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
73,73,"alors t'as mis le chat là-bas .
^ voilà .",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
74,74,mais nan c'est pas enervant .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
75,75,le petit nounours pour la petite euh fille qui va euh promener son petit nounours .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
76,76,"^ ah là c'est le panier pour le chat .
tiens regarde il a un poi un panier pour le chat on va mettre les deux chats là-dedans .",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
77,77,"un cartable .
xxx on le met ici ?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
78,78,un cartable .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
79,79,et ça ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
80,80,"ça ça va pour la cheminée .
ah regarde !",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
81,81,"^ oh j'ai complétement oublié ...
ah oui c'est la chaudière !",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
82,82,euh ffff@o nan à mon avis tu vois c'est pour faire le manger là t'as le four là pour mettre la casserole et puis là les odeurs elles vont de l'autre côté .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
83,83,"nan c'est en dessous ...
ah ouais .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
84,84,"tiens mets-le là mets-le à la cuisine chéri .
voilà .",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
85,85,"ça c'est ce qu'il y avait dans les maisons avant .
voilà .",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,86,non non bah c'est pas grave on on fait comme s'il allait à l'extérieur quoi tu vois ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
87,87,^ tiens mets la casserole dessus sinon on peut pas faire le manger pour la fin .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
88,88,"le café .
voilà .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
89,89,Comme ça c'est bien ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
90,90,"^ vas-y mets la casserole dessus .
oh bah la ptite fille elle va avec ...
qu'est-ce qu'on fait on amène euh ...
la petite fille ...
la grande euh à l'école ?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
91,91,"euh je promène les petits ...
non le papa il promène les petits enfants la maman elle ramène /.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
92,92,"on va ramener regarde on va ramener avec le papa et la maman on va ramener la grande fille à l'école comme ça ça fait la promenade pour les bébés .
allez .
tiens bébé !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
93,93,C'est toi qui pousse la poussette ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
94,94,samuel ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
95,95,ben toi xxx je fais semblant qu'elle qu'elle va à l'école /.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
96,96,attends on va d'abord préparer le petit déjeuner avant d'aller à l'école .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
97,97,"regarde il y a une tasse il y a l'eau qui qui le lait qui chauffe pour le Nesquick .
alors on va se réunir allez hop hop .",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
98,98,"C'est ...
allez prends la grande fille donne-lui son petit dej .
mais xxx .
ouais ...
la maman elle va aller aussi boire son café le papa aussi .
xxx oh c'est chiant ça !",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
99,99,chut@o !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
100,100,"voilà .
xxx fait .
alors ils boivent le café ...
allez vite c'est l'heure d'aller à l'école !",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
101,101,"elle elle mange des céréales allez c'est l'heure d'aller à l'école le papa il va pousser la pousette ...
on peut commencer !",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
102,102,alors le papa il va pousser la pousette et le papa il va tenir la main à sa petite fille .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
103,103,faut dire qu'on peut commencer ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
104,104,allez on y va on va à l'école ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
105,105,Allez c'est parti ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
106,106,oui mais la caméra elle est pas en route !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
107,107,je sais pas ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
108,108,si elle est en route .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
109,109,si elle est en route quoi ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
110,110,si elle est en route !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
111,111,ah !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
112,112,allez on va à l'école !,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
113,113,allez moi je pousse les bébés et toi tu tiens la main à la petite fille pour qu'on aille à l'école .,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
114,114,"Alors ...
ah !",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
115,115,on est arrivés ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
116,116,"mmmh .
oui ..?
allez assis !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
117,117,"allez la ma ...
qu'est-ce qu'elle fait la petite fille ?",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
118,118,elle fait un bisous à sa maman .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
119,119,"un bisous à son papa aussi .
bonne journée travaille bien à l'école !",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
120,120,"a tout à l'heure on revien te chercher pour le repas !
xxx mais j'arrive pas à ...
Hop@o !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
121,121,"voilà tu la mets à l'école on va dire que l'école c'est là-bas .
voilà .",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
122,122,"Après nous qu'est-ce qu'on fait ?
position couchée .",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
123,123,"mets-là debout .
ou sinon on va lui trouver eum ...
c'est pas grave on va on va aller à l'école et puis qu'est-ce qu'on fait Samuel ?",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
124,124,on va rentrer ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
125,125,alors tu tu prends le garçon et nous on rentre à la maison .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
126,126,"on va aller coucher les bébés ..?
ouais .
dans leur lit ?",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
127,127,allez vas-y .,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
128,128,"il y a un bébé qui va dans le lit ...
là .
oh mais chat pouruquoi t'es tombé !
ouh là tu as vu il y en a beaucoup des chats hein !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
129,129,il y en a deux dans le panier un en haut !,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
130,130,deux en haut !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
131,131,y en a un qui est tombé du ciel !,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
132,132,ah ouais .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
133,133,"allez celui-là on va le mettre dans le dodo là .
regarde nickel le dodo pour le bébé !",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
134,134,eh mais il y a un chat qui est tombé !,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
135,135,"nan je l'ai mis là .
un deux trois quatre .
ah ouais mais regarde ...
on va lui mettre la couverture il va faire la sieste ...
un deux trois quatre cinq wahou y en a un deux trois quatre cinq euh ...
alors qu'est-ce qu'on fait maintenant ?",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
136,136,"Après avoir fait le le le petit dej et amené la grande à l'école il faut ..?
bah /.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
137,137,commencer à faire le manger .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
138,138,bah il est déjà fait !,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
139,139,"il est déjà fait nan ça c'était le petit dej .
allez tchictchic@o allez j'ai fait ...
voilà le papa il prépare le manger la maman avec /.",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
140,140,ça y est j'ai fait le mager .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
141,141,t'as fait le manger ?,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
142,142,"oui .
allez on on xxx ...
on va chercher la grande à l'école alors ?",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
143,143,ouais je vais la chercher toi tu reste ici le temps de préparer la dinde /.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
144,144,"je reste avec les bébés alors .
parce qu'ils vont pleurer tu vas même pas les entendre .
oh bah ouais après il vont pleurer !",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
145,145,oh !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
146,146,bah justement ils se mettent à pleurer je vais aller les chercher !,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
147,147,"oh le bébé il pleure .
allez c'est l'heure d'aller au lit !",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
148,148,"bah nan on va manger elle rentre de l'école .
xxx c'est l'heure de manger .
toi quand tu rentres de l'école tu vas au dodo ?",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
149,149,"ouais .
oh bah non !",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
150,150,allez j'enlève mon sac je vais plus à l'école !,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
151,151,alors q'est-ce qu'elle demande q'est-ce qu'il demande le papa ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
152,152,^ comment c'était l'école ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
153,153,ça va .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
